Rank,"Previous Rank","First Appearance","First Rank",Name,Computer,Site,Manufacturer,Country,Year,Segment,"Total Cores","Accelerator/Co-Processor Cores","Rmax [TFlop/s]","Rpeak [TFlop/s]",Nmax,Nhalf,"HPCG [TFlop/s]","Power (kW)","Power Source","Power Effeciency [GFlops/Watts]",Architecture,Processor,"Processor Technology","Processor Speed (MHz)","Operating System","OS Family",Accelerator/Co-Processor,"Cores per Socket","Processor Generation","System Model","System Family","Interconnect Family",Interconnect,Region,Continent,"Site ID","System ID"
405,307,51,228,"JD B1","Lenovo x3650, Xeon E5-2683 v4  16C 2.1GHz, 10G Ethernet","Internet Company",Lenovo,China,2018,Industry,82752,,1348.56,2780.467,5753280,,,,,,Cluster,"Xeon E5-2683 v4  16C 2.1GHz","Intel Broadwell",2100,Linux,Linux,None,16,"Intel Xeon E5 (Broadwell)","Lenovo x3650","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50598,179367
406,308,52,234,,"Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet","Service Provider T",Lenovo,China,2018,Industry,32000,,1346.76,2457.6,3919104,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179484
407,309,53,309,,"INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet","Internet Service P",Inspur,China,2018,Industry,40320,38400,1346,3489.024,1284000,,,,,,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,"NVIDIA Tesla V100",16,"Xeon Gold","INSPUR NF5288M5","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50759,179615
408,310,52,235,SGSystem,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",SPGrid,Sugon,China,2018,Government,78720,,1345,2770.944,6052000,,,810,Submitted,1.66,Cluster,"Xeon E5-2650v4 12C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,None,12,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50785,179540
409,311,53,311,"Earth Bigdata","Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2019,Academic,24000,,1344,1920,3730000,,,230,Submitted,5.843,Cluster,"Xeon Gold 6248 20C 2.5GHz","Intel Cascade lake",2500,CentOS,Linux,None,20,"Xeon Gold 62xx (Cascade Lake)","Sugon TC6000","Sugon Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,47553,179683
410,312,49,86,Cedar,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path, NVIDIA Tesla P100","Simon Fraser University/Compute Canada","Dell EMC",Canada,2017,Academic,35712,32256,1337,2863.411,940800,,,167,Submitted,8.006,Cluster,"Xeon E5-2650v4 12C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,"NVIDIA Tesla P100",12,"Intel Xeon E5 (Broadwell)","Dell C4130","Dell PowerEdge Cluster",Omnipath,"Intel Omni-Path","North America",Americas,50722,179113
411,313,52,237,,"HPE SGI 8600, Xeon Gold 6148 20C 2.4GHz, 4xEDR Infiniband","Central Research Institute of Electric Power Industry/CRIEPI",HPE,Japan,2018,Research,26400,,1326.25,2027.52,2525184,,,357.55,Submitted,3.709,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,"Red Hat Enterprise Linux",Linux,None,20,"Xeon Gold","HPE SGI 8600","HPE SGI 8600",Infiniband,"4xEDR Infiniband","Eastern Asia",Asia,47530,179563
412,314,50,95,Taiwania,"PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path","National Center for High Performance Computing",Fujitsu,Taiwan,2017,Research,27200,,1325.15,2088.96,3707904,,,332,Submitted,3.991,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,None,20,"Xeon Gold","PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4","Fujitsu PRIMERGY",Omnipath,"Intel Omni-Path","Eastern Asia",Asia,48468,179170
413,315,51,150,"Internet Company T EE2","Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2018,Industry,30000,,1319.52,2400,3794688,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179352
414,316,51,149,"Internet Company T EE1","Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2018,Industry,30000,,1319.52,2400,3794688,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179353
