Rank,"Previous Rank","First Appearance","First Rank",Name,Computer,Site,Manufacturer,Country,Year,Segment,"Total Cores","Accelerator/Co-Processor Cores","Rmax [TFlop/s]","Rpeak [TFlop/s]",Nmax,Nhalf,"HPCG [TFlop/s]","Power (kW)","Power Source","Power Effeciency [GFlops/Watts]",Architecture,Processor,"Processor Technology","Processor Speed (MHz)","Operating System","OS Family",Accelerator/Co-Processor,"Cores per Socket","Processor Generation","System Model","System Family","Interconnect Family",Interconnect,Region,Continent,"Site ID","System ID"
1,1,51,1,Summit,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband","DOE/SC/Oak Ridge National Laboratory",IBM,"United States",2018,Research,2414592,2211840,148600,200794.88,16473600,,2925.75,10096,Submitted,14.719,Cluster,"IBM POWER9 22C 3.07GHz",Power,3070,"RHEL 7.4",Linux,"NVIDIA Volta GV100",22,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","North America",Americas,48553,179397
2,2,51,3,Sierra,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/NNSA/LLNL,"IBM / NVIDIA / Mellanox","United States",2018,Research,1572480,1382400,94640,125712,11902464,,1795.67,7438.28,Submitted,12.723,Cluster,"IBM POWER9 22C 3.1GHz",Power,3100,"Red Hat Enterprise Linux",Linux,"NVIDIA Volta GV100",22,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","North America",Americas,49763,179398
3,3,47,1,"Sunway TaihuLight","Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway","National Supercomputing Center in Wuxi",NRCPC,China,2016,Research,10649600,,93014.59388,125435.904,12288000,,480.848,15371,Submitted,6.051,MPP,"Sunway SW26010 260C 1.45GHz",ShenWei,1450,"Sunway RaiseOS 2.0.5",Linux,None,260,Sunway,"Sunway MPP","Sunway Cluster","Custom Interconnect",Sunway,"Eastern Asia",Asia,50623,178764
4,4,41,1,Tianhe-2A,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000","National Super Computer Center in Guangzhou",NUDT,China,2018,Research,4981760,4554752,61444.5,100678.664,9773000,,,18482,Submitted,3.325,Cluster,"Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux",Linux,Matrix-2000,12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia",Asia,50365,177999
5,5,53,5,Frontera,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR","Texas Advanced Computing Center/Univ. of Texas","Dell EMC","United States",2019,Academic,448448,,23516.4,38745.907,9262848,,,,,,Cluster,"Xeon Platinum 8280 28C 2.7GHz","Intel Cascade lake",2700,"CentOS Linux 7",Linux,None,28,"Xeon Platinum 82xx (Cascade Lake)","PowerEdge C6420","Dell PowerEdge Cluster",Infiniband,"Mellanox InfiniBand HDR","North America",Americas,48958,179607
6,6,40,114,"Piz Daint","Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100","Swiss National Supercomputing Centre (CSCS)",Cray/HPE,Switzerland,2017,Research,387872,319424,21230,27154.3,3743232,,496.978,2384.24,Submitted,8.904,MPP,"Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Cray Linux Environment ",Linux,"NVIDIA Tesla P100",12,"Intel Xeon E5 (Haswell)","Cray XC50","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe",Europe,50422,177824
7,7,46,6,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/NNSA/LANL/SNL,Cray/HPE,"United States",2017,Research,979072,,20158.7,41461.15,12353536,,546.124,7578.1,Submitted,2.66,MPP,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,"Cray Linux Environment ",Linux,None,68,"Intel Xeon Phi","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America",Americas,50334,178610
8,8,51,5,"AI Bridging Cloud Infrastructure (ABCI)","PRIMERGY CX2570 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR","National Institute of Advanced Industrial Science and Technology (AIST)",Fujitsu,Japan,2018,Research,391680,348160,19880,32576.63488,2918016,,508.854,1649.25,Optimized,12.054,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,"NVIDIA Tesla V100 SXM2",20,"Xeon Gold","PRIMERGY CX2570 M4","Fujitsu PRIMERGY",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50762,179393
9,9,52,8,SuperMUC-NG,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path","Leibniz Rechenzentrum",Lenovo,Germany,2018,Academic,305856,,19476.6,26873.856,8402688,,207.844,,,,Cluster,"Xeon Platinum 8174 24C 3.1GHz","Intel Skylake",3100,"SUSE Linux Enterprise Server 12 SP3",Linux,None,24,"Xeon Platinum","ThinkSystem SD650","Lenovo ThinkSystem",Omnipath,"Intel Omni-Path","Western Europe",Europe,48248,179566
10,10,52,11,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,"IBM / NVIDIA / Mellanox","United States",2018,Research,288288,253440,18200,23047.2,5059584,,,,,,Cluster,"IBM POWER9 22C 3.1GHz",Power,3100,"Red Hat Enterprise Linux",Linux,"NVIDIA Tesla V100",22,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","North America",Americas,49763,179567
11,11,53,11,"PANGEA III","IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100","Total Exploration Production",IBM,France,2019,Industry,291024,270720,17860,25025.81,5760000,,,1367,Submitted,13.065,Cluster,"IBM POWER9 18C 3.45GHz",Power,3450,"RHEL 7.6",Linux,"NVIDIA Volta GV100",18,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","Western Europe",Europe,49546,179689
12,13,38,17,Sequoia,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,IBM,"United States",2011,Research,1572864,,17173.224,20132.6592,,,330.373,7890,Submitted,2.177,MPP,"Power BQC 16C 1.6GHz",PowerPC,1600,Linux,Linux,None,16,"Power BQC",BlueGene/Q,"IBM BlueGene","Custom Interconnect","Custom Interconnect","North America",Americas,49763,177556
13,14,48,5,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray/HPE,"United States",2016,Research,622336,,14014.7,27880.653,6984960,,355.442,3939,Submitted,3.558,MPP,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,"Cray Linux Environment ",Linux,None,68,"Intel Xeon Phi","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America",Americas,48429,178924
14,15,51,11,Nurion,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path","Korea Institute of Science and Technology Information",Cray/HPE,"Korea, South",2018,Research,570020,,13929.3,25705.9,10076976,,391.453,,,,Cluster,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,CentOS,Linux,None,68,"Intel Xeon Phi","Cray CS500","Cray CS",Omnipath,"Intel Omni-Path","Eastern Asia",Asia,50770,179421
15,16,48,6,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path","Joint Center for Advanced High Performance Computing",Fujitsu,Japan,2016,Academic,556104,,13554.6,24913.459,9938880,,385.479,2718.7,Submitted,4.986,Cluster,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,Linux,Linux,None,68,"Intel Xeon Phi","PRIMERGY CX1640 M1","Fujitsu Cluster",Omnipath,"Intel Omni-Path","Eastern Asia",Asia,50673,178932
16,17,51,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100","Eni S.p.A.",HPE,Italy,2018,Industry,253600,177520,12210,18621.138,5947392,,271.872,1320,Optimized,9.25,Cluster,"Xeon Platinum 8160  24C 2.1GHz","Intel Skylake",2100,"RHEL 7.4",Linux,"NVIDIA Tesla P100",24,"Xeon Platinum","Proliant DL380 Gen10","HP Cluster Platform 3000",Infiniband,"Mellanox InfiniBand EDR","Southern Europe",Europe,50489,179444
17,18,51,14,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2","Commissariat a l'Energie Atomique (CEA)",Atos,France,2017,Research,561408,,11965.5,23396.352,10321920,,333.762,3178,Submitted,3.765,Cluster,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,"bullx SCS",Linux,None,68,"Intel Xeon Phi","Bull Sequana X1000","Bull Sequana","Custom Interconnect","Bull BXI 1.2","Western Europe",Europe,47593,179412
18,19,49,12,Stampede2,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path","Texas Advanced Computing Center/Univ. of Texas","Dell EMC","United States",2017,Academic,367024,,10680.7,18309.222,8242944,,,,,,Cluster,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,CentOS,Linux,None,68,"Intel Xeon Phi","PowerEdge C6320P","Dell PowerEdge Cluster",Omnipath,"Intel Omni-Path","North America",Americas,48958,179045
19,21,48,12,"Marconi Intel Xeon Phi","CINECA Cluster, Lenovo SD530/S720AP, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",CINECA,Lenovo,Italy,2016,Academic,348000,204000,10384.9,18816,7447776,,68.624,,,,Cluster,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,Linux,Linux,None,68,"Intel Xeon Phi","CINECA Cluster","CINECA Cluster",Omnipath,"Intel Omni-Path","Southern Europe",Europe,47495,178937
20,22,53,22,"DGX SuperPOD","NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR","NVIDIA Corporation",Nvidia,"United States",2019,Industry,127488,122880,9444,11209.114,2519232,,199.196,,,,Cluster,"Xeon Platinum 8174 24C 3.1GHz","Intel Skylake",3100,"Ubuntu 18.04.01",Linux,"NVIDIA Tesla V100",24,"Xeon Platinum","NVIDIA DGX-2H Pod","NVIDIA DGX",Infiniband,"Mellanox InfiniBand EDR","North America",Americas,48448,179691
21,23,52,20,"Taiwania 2","QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2","National Center for High Performance Computing","Quanta Computer / Taiwan Fixed Network / ASUS Cloud",Taiwan,2018,Research,170352,161280,9000,15208.23,2862720,,,797.54,Submitted,11.285,Cluster,"Xeon Gold 6154 18C 3GHz","Intel Skylake",3000,CentOS,Linux,"NVIDIA Tesla V100 SXM2",18,"Xeon Gold","QCT QuantaGrid D52G-4U/LC","QCT QuantaGrid",Infiniband,"Mellanox InfiniBand EDR","Eastern Asia",Asia,48468,179590
22,24,39,3,Mira,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory",IBM,"United States",2012,Research,786432,,8586.612,10066.33,,,167.049,3945,Submitted,2.177,MPP,"Power BQC 16C 1.6GHz",PowerPC,1600,Linux,Linux,None,16,"Power BQC",BlueGene/Q,"IBM BlueGene","Custom Interconnect","Custom Interconnect","North America",Americas,47347,177718
23,25,49,61,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,135828,120736,8125,12127.069,2126208,,188.62,792.08,Optimized,10.258,Cluster,"Xeon E5-2680v4 14C 2.4GHz","Intel Broadwell",2400,"SUSE Linux Enterprise Server 12 SP1",Linux,"NVIDIA Tesla P100 NVLink",14,"Intel Xeon E5 (Broadwell)","SGI ICE XA (HPE SGI 8600), IP139-SXM2","HPE SGI 8600",Omnipath,"Intel Omni-Path","Eastern Asia",Asia,47912,179093
24,,54,24,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100","Rensselaer Polytechnic Institute Center for Computational Innovations (CCI)",IBM,"United States",2019,Academic,130000,120000,8045,11121,3824640,,,510.1,Submitted,15.771,Cluster,"IBM POWER9 20C 3.45GHz",Power,3450,"RHEL 7.6",Linux,"NVIDIA Volta GV100",20,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","North America",Americas,50823,179781
25,26,53,26,PupMaya,"Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Government,HPE,"United States",2019,Government,169920,,7483.73,12902.4,4748928,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,"CentOS Linux 7",Linux,None,20,"Xeon Gold","Apollo 2000","HP Apollo",Infiniband,"Infiniband EDR","North America",Americas,50798,179604
26,,54,26,Artemis,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100","Group 42",Nvidia,"United Arab Emirates",2019,Industry,107568,103680,7257,9492.163,2304000,,,673,Submitted,10.783,Cluster,"Xeon Platinum 8168 24C 2.7GHz","Intel Skylake",2700,"Ubuntu Linux",Linux,"NVIDIA Tesla V100",24,"Xeon Platinum","NVIDIA DGX-2","NVIDIA DGX",Infiniband,"Infiniband EDR","Western Asia",Asia,50813,179803
27,27,48,11,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","United Kingdom Meteorological Office",Cray/HPE,"United Kingdom",2016,Research,241920,,7038.93,8128.512,6705408,,,,,,MPP,"Xeon E5-2695v4 18C 2.1GHz","Intel Broadwell",2100,"Cray Linux Environment ",Linux,None,18,"Intel Xeon E5 (Broadwell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe",Europe,49064,178925
28,28,48,18,Theta,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ","DOE/SC/Argonne National Laboratory",Cray/HPE,"United States",2017,Research,280320,,6920.9,11661.312,7680000,,,,,,MPP,"Intel Xeon Phi 7230 64C 1.3GHz","Intel Xeon Phi",1300,"Cray Linux Environment ",Linux,None,64,"Intel Xeon Phi","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America",Americas,47347,178926
29,,54,29,Christofari,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100",SberCloud,Nvidia,Russia,2019,Industry,99600,96000,6669,8789.76,2208000,1169680,,,,,Cluster,"Xeon Platinum 8168 24C 2.7GHz","Intel Skylake",2700,"Ubuntu 18.04.01",Linux,"NVIDIA Tesla V100",24,"Xeon Platinum","NVIDIA DGX-2","NVIDIA DGX",Infiniband,"Mellanox InfiniBand EDR","Eastern Europe",Europe,50820,179778
30,29,49,13,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path","Barcelona Supercomputing Center",Lenovo,Spain,2017,Academic,153216,,6470.8,10296.115,5990400,,122.242,1632,Submitted,3.965,Cluster,"Xeon Platinum 8160  24C 2.1GHz","Intel Skylake",2100,"SUSE Linux",Linux,None,24,"Xeon Platinum","ThinkSystem SD530","Lenovo ThinkSystem",Omnipath,"Intel Omni-Path","Southern Europe",Europe,49748,179067
31,30,51,23,"JUWELS Module 1","Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite","Forschungszentrum Juelich (FZJ)",Atos,Germany,2018,Research,114480,,6177.73,9891.072,4996992,,75.346,1361,Submitted,4.539,Cluster,"Xeon Platinum 8168 24C 2.7GHz","Intel Skylake",2700,CentOS,Linux,None,24,"Xeon Platinum","Bull Sequana X1000","Bull Sequana",Infiniband,"Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite","Western Europe",Europe,47871,179424
32,31,37,7,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR","NASA/Ames Research Center/NAS",HPE,"United States",2016,Research,241108,,5951.55,7107.1488,6500160,,175.181,4407,Submitted,1.35,Cluster,"Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11",Linux,None,10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE",Infiniband,"Infiniband FDR","North America",Americas,48408,177259
33,32,51,26,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ","Japan Meteorological Agency","Cray Inc./Hitachi",Japan,2018,Research,135792,,5730.5,9125.222,5667840,,,1353.95,Submitted,4.232,MPP,"Xeon Platinum 8160  24C 2.1GHz","Intel Skylake",2100,"Cray Linux Environment ",Linux,None,24,"Xeon Platinum","Cray XC50","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia",Asia,48169,179414
34,33,51,25,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ","Japan Meteorological Agency","Cray Inc./Hitachi",Japan,2018,Research,135792,,5730.5,9125.222,5667840,,,1353.95,Submitted,4.232,MPP,"Xeon Platinum 8160  24C 2.1GHz","Intel Skylake",2100,"Cray Linux Environment ",Linux,None,24,"Xeon Platinum","Cray XC50","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia",Asia,48169,179415
35,34,44,16,"Hazel Hen","Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","HLRS - Höchstleistungsrechenzentrum Stuttgart",Cray/HPE,Germany,2015,Research,185088,,5640.17,7403.52,4973760,,137.995,3615,Derived,1.56,MPP,"Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Cray Linux Environment ",Linux,None,12,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe",Europe,50543,178446
36,35,51,28,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path","Max-Planck-Gesellschaft MPI/IPP",Intel,Germany,2018,Research,127520,,5612.83,9793.536,5213184,,,1635,Submitted,3.433,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,"SUSE Linux Enterprise Server 12 SP1",Linux,None,20,"Xeon Gold","Intel Compute Module HNS2600BP","Intel Cluster",Omnipath,"Intel Omni-Path","Western Europe",Europe,48331,179423
37,,54,37,Sawtooth,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ","Idaho National Laboratory",HPE,"United States",2019,Research,96480,,5587.93,8953.344,6437760,,,,,,Cluster,"Xeon Platinum 8268 24C 2.9GHz","Intel Cascade lake",2900,"RHEL 7.6",Linux,None,24,"Xeon Platinum 82xx (Cascade Lake)","HPE SGI 8600","HPE SGI 8600",Infiniband,"Infiniband EDR/HDR ","North America",Americas,47650,179708
38,36,45,7,"Shaheen II","Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","King Abdullah University of Science and Technology",Cray/HPE,"Saudi Arabia",2015,Academic,196608,,5536.99,7235.174,9738048,,113.868,2834,Submitted,1.954,MPP,"Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ",Linux,None,16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Asia",Asia,50205,178515
39,37,52,33,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB","NASA/Ames Research Center/NAS",HPE,"United States",2018,Research,124416,,5444.64,8316.518,6931200,,65,1685.73,Submitted,3.23,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,"SLES12 SP2",Linux,None,20,"Xeon Gold","HPE SGI 8600","HPE SGI 8600",Infiniband,"Infiniband EDR","North America",Americas,48408,179589
40,,54,40,Lise,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path","HLRN at ZIB/Konrad Zuse-Zentrum Berlin",Atos,Germany,2019,Academic,103680,,5355.94,7630.848,6776448,,,1258,Submitted,4.258,Cluster,"Intel Xeon Platinum 9242 48C 2.3GHz","Intel Cascade lake",2300,CentOS,Linux,None,48,"Xeon Platinum 92xx (Cascade Lake)","Bull intel Cluster","Bull Cluster",Omnipath,"Intel Omni-Path","Western Europe",Europe,49361,179702
41,38,41,11,Pangea,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR","Total Exploration Production",HPE,France,2013,Industry,220800,,5283.11,6712.32,4919040,,162.692,4150,Submitted,1.273,Cluster,"Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"SUSE Linux Enterprise Server 11",Linux,None,12,"Intel Xeon E5 (Haswell)","SGI ICE X","SGI ICE",Infiniband,"Infiniband FDR","Western Europe",Europe,49546,178071
42,51,53,51,"TX-GAIA (Green AI Accelerator)","Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path","MIT Lincoln Laboratory Supercomputing Center",HPE,"United States",2019,Academic,88400,70720,5161,6981.4784,4455360,,,,,,Cluster,"Xeon Gold 6248 20C 2.5GHz","Intel Cascade lake",2500,"CentOS Linux 7",Linux,"NVIDIA Tesla V100",20,"Xeon Gold 62xx (Cascade Lake)","Apollo 2000","HP Apollo",Omnipath,"Intel Omni-Path","North America",Americas,48296,179603
43,39,52,35,Eagle,"HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube","National Renewable Energy Laboratory",HPE,"United States",2018,Research,75600,,4850.66,7257.6,4652160,,,,,,Cluster,"Xeon Gold 6154 18C 3GHz","Intel Skylake",3000,CentOS,Linux,None,18,"Xeon Gold","HPE SGI 8600","HPE SGI 8600",Infiniband,"EDR Infiniband/ 8D Hypercube","North America",Americas,48481,179598
44,40,48,20,Cheyenne,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR","National Center for Atmospheric Research (NCAR)",HPE,"United States",2016,Research,144900,,4788.19,5332.32,5171520,,87.28,1727,Submitted,2.773,Cluster,"Xeon E5-2697v4 18C 2.3GHz","Intel Broadwell",2300,"SUSE Linux Enterprise Server 12 SP1",Linux,None,18,"Intel Xeon E5 (Broadwell)","SGI ICE XA","SGI ICE",Infiniband,"Infiniband EDR","North America",Americas,48418,178965
45,41,51,32,"ITO - Subsystem A","Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2018,Academic,72000,,4540.69,6912,5753080,,62.908,,,,Cluster,"Xeon Gold 6154 18C 3GHz","Intel Skylake",3000,"Redhat Enterprise Linux 7",Linux,None,18,"Xeon Gold","Fujitsu PRIMERGY CX2550/CX2560 M4","Fujitsu PRIMERGY",Infiniband,"Mellanox InfiniBand EDR","Eastern Asia",Asia,50421,179429
46,42,53,42,"Jean Zay","HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,93960,83520,4478,7345.562,1999871,,120.271,,,,Cluster,"Xeon Gold 6248 20C 2.5GHz","Intel Cascade lake",2500,"RHEL 6.8",Linux,"NVIDIA Tesla V100 SXM2",20,"Xeon Gold 62xx (Cascade Lake)","HPE SGI 8600","HPE SGI 8600",Omnipath,"Intel Omni-Path","Western Europe",Europe,50403,179692
47,,54,47,"Gadi Phase 1","ThinkSystem SD650, Xeon Platinum 8274 24C 3.2GHz, Mellanox InfiniBand HDR","National Computational Infrastructure (NCI Australia)","Fujitsu / Lenovo",Australia,2019,Academic,72576,,4407.5,7431.782,4369536,,,,,,Cluster,"Xeon Platinum 8274 24C 3.2GHz","Intel Cascade lake",3200,CentOS,Linux,None,24,"Xeon Platinum 82xx (Cascade Lake)","ThinkSystem SD650","Lenovo ThinkSystem",Infiniband,"Mellanox InfiniBand HDR","Australia and New Zealand",Oceania,47369,179707
48,43,52,38,"Advanced Computing System(PreE)","Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,Sugon,China,2018,Vendor,163840,131072,4325,6134.1696,1876000,,,380,Submitted,11.382,Cluster,"Hygon Dhyana 32C 2GHz","AMD x86_64",2000,CentOS,Linux,"Deep Computing Processor",32,"Hygon Dhyana","Sugon TC8600","Sugon Cluster","Gigabit Ethernet","200Gb 6D-Torus","Eastern Asia",Asia,50797,179593
49,44,39,48,Vulcan,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",DOE/NNSA/LLNL,IBM,"United States",2012,Research,393216,,4293.306,5033.165,,,80.894,1972,Submitted,2.177,MPP,"Power BQC 16C 1.6GHz",PowerPC,1600,Linux,Linux,None,16,"Power BQC",BlueGene/Q,"IBM BlueGene","Custom Interconnect","Custom Interconnect","North America",Americas,49763,177732
50,45,53,45,Oakbridge-CX,"Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2019,Academic,76608,,4289.85,6618.931,5124856,,53.529,845.09,Submitted,5.076,Cluster,"Xeon Platinum 8280 28C 2.7GHz","Intel Cascade lake",2700,Linux,Linux,None,28,"Xeon Platinum 82xx (Cascade Lake)","Fujitsu PRIMERGY CX2550/CX2560 M5","Fujitsu PRIMERGY",Omnipath,"Intel Omni-Path","Eastern Asia",Asia,50096,179606
51,46,53,46,,"Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2","Research Institute",HPE,Japan,2019,Research,70416,66560,4128,5783.808,1843200,,94.291,,,,Cluster,"Xeon Gold 6140 18C 2.3GHz","Intel Skylake",2300,CentOS,Linux,"NVIDIA Tesla V100 SXM2",18,"Xeon Gold","Apollo 6500 XL270d Gen10","HP Apollo",Infiniband,"Mellanox InfiniBand EDR","Eastern Asia",Asia,50810,179698
52,47,51,34,"JOLIOT-CURIE SKL","Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,Atos,France,2017,Research,79488,,4065.55,6635.52,5861568,,52.684,917,Submitted,4.434,Cluster,"Xeon Platinum 8168 24C 2.7GHz","Intel Skylake",2700,"bullx SCS",Linux,None,24,"Xeon Platinum","Bull Sequana X1000","Bull Sequana",Infiniband,"Mellanox InfiniBand EDR","Western Europe",Europe,50414,179411
