Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
1,"ASCI Red,                 Intel                Sandia National LaboratoriesUnited States",7264,1068.0,1453.0,
2,"CP-PACS/2048,                 Hitachi/Tsukuba                Center for Computational Sciences, University of TsukubaJapan",2048,368.2,614.4,
3,"Numerical Wind Tunnel,                 Fujitsu                National Aerospace Laboratory of JapanJapan",167,229.0,281.26,498
4,"SR2201/1024,                 Hitachi                University of TokyoJapan",1024,220.4,307.2,
5,"T3E,                 Cray/HPE                Forschungszentrum Juelich (FZJ)Germany",512,176.0,307.2,
6,"T3E,                 Cray/HPE                GovernmentUnited States",512,176.0,307.2,
7,"T3E,                 Cray/HPE                Max-Planck-Gesellschaft MPI/IPPGermany",512,176.0,307.2,
8,"T3E,                 Cray/HPE                NASA/Goddard Space Flight CenterUnited States",512,176.0,307.2,
9,"T3E,                 Cray/HPE                Pittsburgh Supercomputing CenterUnited States",512,176.0,307.2,
10,"T3E,                 Cray/HPE                Universitaet StuttgartGermany",512,176.0,307.2,
11,"SP P2SC 120 MHz,                 IBM                DOE/SC/Pacific Northwest National LaboratoryUnited States",472,151.8,226.56,
12,"XP/S140,                 Intel                Sandia National LaboratoriesUnited States",3680,143.4,184.0,
13,"T3E900,                 Cray/HPE                Minnesota Supercomputer CenterUnited States",256,138.7,230.4,
14,"T3E900,                 Cray/HPE                Naval Oceanographic Office - NAVO DSRCUnited States",256,138.7,230.4,
15,"XP/S-MP 150,                 Intel                DOE/SC/Oak Ridge National LaboratoryUnited States",3072,127.1,154.0,
16,"T3E750,                 Cray/HPE                Commissariat a l'Energie Atomique (CEA)France",256,115.5,192.0,
17,"VPP700/56,                 Fujitsu                Kyushu UniversityJapan",56,110.0,123.2,
18,"VPP500/80,                 Fujitsu                National Lab. for High Energy PhysicsJapan",80,109.0,128.0,
19,"XP/S-MP 125,                 Intel                Japan Atomic Energy Research InstituteJapan",2502,103.5,125.1,
20,"T3D MC1024-8,                 Cray/HPE                GovernmentUnited States",1024,100.5,153.6,
21,"VPP700/46,                 Fujitsu                ECMWFUnited Kingdom",46,94.3,101.2,
22,"T3E,                 Cray/HPE                Cray ResearchUnited States",256,93.2,153.6,
23,"T3E,                 Cray/HPE                ERDC DSRCUnited States",256,93.2,153.6,
24,"T3E,                 Cray/HPE                IDRISFrance",256,93.2,153.6,
25,"T3E,                 Cray/HPE                UCSD/San Diego Supercomputer CenterUnited States",256,93.2,153.6,
26,"SP2/512,                 IBM                Cornell Theory CenterUnited States",512,88.4,136.19,
27,"T3E750,                 Cray/HPE                CSC (Center for Scientific Computing)Finland",192,86.6,144.0,
28,"SP P2SC 135 MHz,                 IBM                Air Force Research LaboratoryUnited States",256,83.37,138.24,
29,"SP P2SC 135 MHz,                 IBM                ERDC DSRCUnited States",256,83.37,138.24,
