Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
401,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet,                 IBM                Geoscience (P)United States",2944,14.53,35.33,280
402,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet,                 IBM                Geoscience (P)United States",2944,14.53,35.33,280
403,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet,                 IBM                Geoscience (P)United States",2944,14.53,35.33,280
404,"SGI Altix ICE 8200, 3.0 GHz,                 HPE                Naval Research Laboratory (NRL)United States",1536,14.52,18.43,
405,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, Infiniband,                 HPE                IT Service Provider (B)United States",1568,14.49,18.82,
406,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, GigEthernet,                 HPE                Financial InstitutionUnited States",2472,14.47,26.3,
407,"Cluster Platform 3000 BL460c, Xeon 54xx 2.33 GHz, GigEthernet,                 HPE                IT Service Provider ()France",2872,14.38,26.77,
408,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet,                 HPE                Information AgencyFrance",2864,14.34,26.69,
409,"Cluster Platform 3000 BL460c, Xeon 54xx 2 GHz, GigEthernet,                 HPE                Kaiser FoundationUnited States",3336,14.31,26.69,
410,"Cluster Platform 3000 BL460c, Xeon E54xx 2.4GHz, GigEthernet,                 HPE                Financial Institution (M)United States",2760,14.29,26.5,
411,"Cluster Platform 3000 BL460c, Xeon 52xx 3.33 GHz, Infiniband,                 HPE                Vestas Wind Systems A/SDenmark",1344,14.28,17.9,
412,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet,                 IBM                Web ServicesUnited States",2888,14.25,30.81,269
413,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet,                 HPE                Cerner Corp.United States",2408,14.25,25.69,
414,"Cray XT3, 2.6 GHz dual Core,                 Cray/HPE                Swiss Scientific Computing Center (CSCS)Switzerland",3328,14.22,17.31,
415,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet,                 IBM                Banking (M)United States",2880,14.21,26.88,231
416,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet,                 IBM                Banking (M)United States",2880,14.21,26.88,231
417,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet,                 IBM                Banking (M)United States",2880,14.21,26.88,231
418,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet,                 IBM                Banking (M)United States",2880,14.21,26.88,231
419,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet,                 IBM                Banking (M)United States",2880,14.21,26.88,231
420,"BladeCenter LS21, Opteron Dual Core 2.2 GHz, GigEthernet, Windows,                 IBM                Financial Institution (Q)France",6400,14.18,28.16,416
421,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, GigEthernet,                 HPE                Semiconductor Company (P)United States",2400,14.17,25.54,
422,"Cluster Platform 3000 BL460c, Xeon L54xx 2.33 GHz, GigEthernet,                 HPE                Software Company (M)United States",2816,14.1,26.25,
423,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband,                 IBM                LockheedUnited States",1952,14.08,18.22,78
424,"Roadrunner 1 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband,                 IBM                DOE/NNSA/LANLUnited States",4608,14.07,20.28,518
425,"Roadrunner 2 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband,                 IBM                DOE/NNSA/LANLUnited States",4608,14.07,20.28,518
426,"Roadrunner 3 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband,                 IBM                DOE/NNSA/LANLUnited States",4608,14.07,20.28,518
427,"Finis Terrae - Integrity rx5670 Itanium2 Cluster,                 HPE                Centro de Supercomp. de GaliciaSpain",2528,14.01,16.18,
428,"BL460c, Xeon E54xx 2.83 GHz, GigEthernet,                 HPE                Research AgencyIndia",2208,14.0,24.99,
429,"BladeCenter QS22 Cluster, PowerXCell 8i 3.2 Ghz, Infiniband,                 IBM                Repsol YPFUnited States",1800,13.99,21.76,26
430,"BladeCenter QS22 Cluster, PowerXCell 8i 3.2 Ghz, Infiniband,                 IBM                Repsol YPFUnited States",1800,13.99,21.76,26
431,"BladeCenter QS22 Cluster, PowerXCell 8i 3.2 Ghz, Infiniband,                 IBM                Repsol YPFUnited States",1800,13.99,21.76,26
432,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, Infiniband,                 HPE                Vyatsky State UniversityRussia",1920,13.96,17.89,
433,"Cray XT4 QuadCore 2.2 GHz,                 Cray/HPE                Cray Inc.United States",1984,13.94,17.46,98
434,"Cluster Platform 4000 BL465c, Opteron QC 2.3GHz, GigE,                 HPE                IT Service Provider (D)United States",2816,13.92,25.91,
435,"Cluster Platform 4000 BL465c, Opteron QC 2.3GHz, GigE,                 HPE                IT Service Provider (D)United States",2816,13.92,25.91,
436,"Cluster Platform 3000 DL160, Xeon 54xx 3.0 GHz, GigE,                 HPE                Indian Institute of Technology MadrasIndia",2048,13.92,24.58,
437,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet,                 HPE                Financial Institution (U)United Kingdom",2768,13.9,25.8,
438,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet,                 HPE                Financial InstitutionSweden",2044,13.89,24.53,227
439,"Cluster Platform 3000 BL460c, Xeon 54xx 2.83 GHz, GigEthernet,                 HPE                Semiconductor Company (P)United States",2184,13.87,24.72,
440,"Cluster Platform 3000 BL460c, Xeon 54xx 2.83 GHz, GigEthernet,                 HPE                Semiconductor Company (P)United States",2184,13.87,24.72,
