Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
401,"Altix 4700 1.6 GHz,                 HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",768,4.6,4.92,
402,"Altix 4700 1.6 GHz,                 HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",768,4.6,4.92,
403,"Altix 4700 1.6 GHz,                 HPE                RQCHPCanada",768,4.6,4.92,
404,"SR11000-K1/40,                 Hitachi                Hokkaido UniversityJapan",40,4.6,5.38,
405,"Cray XT3, 2.4 GHz,                 Cray/HPE                Army High Performance Computing Research CenterUnited States",1152,4.59,5.53,
406,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, GigEthernet,                 HPE                Financial Institution (S2)Spain",588,4.59,7.06,
407,"Cluster Platform 4000 BL465c, Opteron DC 2.6GHz, GigEthernet,                 HPE                IISUnited States",1336,4.58,6.95,
408,"Cluster Platform 4000 BL465c, Opteron DC 2.6GHz, GigEthernet,                 HPE                IISUnited States",1336,4.58,6.95,
409,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz, GigEthernet,                 HPE                Wells FargoUnited States",1280,4.58,8.19,
410,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz, GigEthernet,                 HPE                Wells FargoUnited States",1280,4.58,8.19,
411,"eServer pSeries p5 575 1.9 GHz,                 IBM                Max-Planck-Gesellschaft MPI/IPPGermany",688,4.56,5.23,112
412,"Turing - XServe G5 2GHz, Myrinet,                 Self-made                University of IllinoisUnited States",1024,4.56,8.19,
413,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, Infiniband,                 IBM                Georgia Institute of TechnologyUnited States",1024,4.55,10.92,95
414,"Fire x8400 2.6 Ghz Opteron, Infiniband,                 Oracle                Sun Project BlackboxUnited States",1088,4.55,5.66,
415,"SSC/HPC - x8400 - Fire x8400 2.6 Ghz Opteron, Infiniband,                 Oracle                Sun Solution Center for HPCUnited States",1088,4.55,5.66,
416,"PRIMEPOWER HPC2500 (1.56 GHz),                 Fujitsu                Kyoto UniversityJapan",1472,4.55,9.19,
