Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
301,"T3D SC256-8/264,                 Cray/HPE                Caltech/JPLUnited States",256,25.3,38.4,
302,"T3D MC256-8,                 Cray/HPE                Defense Research Agency (DRA)United Kingdom",256,25.3,38.4,
303,"T3D MC256-8,                 Cray/HPE                Ecole Polytechnique Federale de LausanneSwitzerland",256,25.3,38.4,
304,"T3D MC256-8,                 Cray/HPE                Petroleum Company (A)United States",256,25.3,38.4,
305,"SP PC604e 332 MHz,                 IBM                ATACFrance",78,25.17,51.79,
306,"AlphaServer 8400 Cluster,                 HPE                Lawrence Livermore National LaboratoryUnited States",54,24.78,66.15,
307,"T3E900,                 Cray/HPE                CIEMATSpain",38,24.7,34.2,
308,"SP PC604e 332 MHz,                 IBM                Telecommunication CompanyJapan",76,24.55,50.46,
309,"HPC 10000 333 MHz,                 Oracle                Eli Lilly and CompanyUnited States",44,24.36,29.3,
310,"HPC 10000 333 MHz,                 Oracle                XeroxUnited States",44,24.36,29.3,
311,"HPC 10000 333 MHz,                 Oracle                AT&T CMDUnited States",43,23.83,28.64,
312,"HPC 10000 333 MHz,                 Oracle                AT&T CMDUnited States",43,23.83,28.64,
313,"T3E,                 Cray/HPE                AWI (Alfred Wegener Institut)Germany",54,23.8,32.4,
314,"VPP500/16,                 Fujitsu                Reactor & Nuclear Fuel DevelopmentJapan",16,23.6,25.6,
315,"HPC 10000 333 MHz,                 Oracle                CommerzbankGermany",42,23.32,27.97,
316,"SP PC604e 332 MHz,                 IBM                Finance Corp. (C)Japan",72,23.31,47.8,
317,"SP PC604e 332 MHz,                 IBM                Manufacturing CompanyJapan",72,23.31,47.8,
318,"SP PC604e 332 MHz,                 IBM                Miele GmbHGermany",72,23.31,47.8,
319,"SP PC604e 332 MHz,                 IBM                Moody'sUnited States",72,23.31,47.8,
320,"SP PC604e 332 MHz,                 IBM                SprintUnited States",72,23.31,47.8,
321,"SX-4/12A,                 NEC                Veritas DGCUnited Kingdom",12,23.2,24.0,
322,"SP P2SC 120 MHz,                 IBM                HPC2N - Umea UniversitySweden",66,23.18,31.68,
323,"SP P2SC 120 MHz,                 IBM                Western GeophysicalUnited States",66,23.18,31.68,
324,"SP P2SC 120 MHz,                 IBM                o.tel.oGermany",66,23.18,31.68,
325,"T932/202048,                 Cray/HPE                Automotive Manufacturer (B)Japan",20,23.07,36.0,
326,"VPP300/10E,                 Fujitsu                FDK CorporationJapan",10,23.0,24.0,
327,"SP P2SC 120 MHz,                 IBM                University of HoustonUnited States",64,22.55,30.72,
328,"SP P2SC 120 MHz,                 IBM                University of UtahUnited States",64,22.55,30.72,
329,"Exemplar X-Class,                 HPE                Arnold Engineering Development Center (AEDC)United States",48,22.31,34.56,
330,"Exemplar X-Class,                 HPE                S. A. ITSouth Korea",48,22.31,34.56,
331,"Exemplar X-Class,                 HPE                Tohoku UniversityJapan",48,22.31,34.56,
332,"Exemplar X-Class,                 HPE                Universitaet LeipzigGermany",48,22.31,34.56,
333,"Exemplar X-Class,                 HPE                Universitaet MainzGermany",48,22.31,34.56,
334,"HPC 10000 333 MHz,                 Oracle                AT&TUnited States",40,22.27,26.64,
335,"HPC 10000 333 MHz,                 Oracle                AT&TUnited States",40,22.27,26.64,
336,"HPC 10000 333 MHz,                 Oracle                AT&T CFOUnited States",40,22.27,26.64,
337,"HPC 10000 333 MHz,                 Oracle                CommerzbankGermany",40,22.27,26.64,
338,"HPC 10000 333 MHz,                 Oracle                Deutsche Bahn AGGermany",40,22.27,26.64,
339,"HPC 10000 333 MHz,                 Oracle                Dresdner BankGermany",40,22.27,26.64,
340,"HPC 10000 333 MHz,                 Oracle                Hughes Space & CommunicationUnited States",40,22.27,26.64,
341,"HPC 10000 333 MHz,                 Oracle                RecruitJapan",40,22.27,26.64,
342,"HPC 10000 333 MHz,                 Oracle                eBayUnited States",40,22.27,26.64,
