Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
301,"HPC 10000 400 MHz Cluster,                 Oracle                MotorolaUnited States",128,80.1,102.4,
302,"HPC 10000 400 MHz Cluster,                 Oracle                OfficeMaxUnited States",128,80.1,102.4,
303,"HPC 10000 400 MHz Cluster,                 Oracle                Oil CompanyCanada",128,80.1,102.4,
304,"HPC 10000 400 MHz Cluster,                 Oracle                RandomHouseUnited States",128,80.1,102.4,
305,"HPC 10000 400 MHz Cluster,                 Oracle                Rutgers UniversityUnited States",128,80.1,102.4,
306,"HPC 10000 400 MHz Cluster,                 Oracle                Stanford University/High Energy PhysicsUnited States",128,80.1,102.4,
307,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyAustralia",128,80.1,102.4,
308,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyItaly",128,80.1,102.4,
309,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyUnited States",128,80.1,102.4,
310,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyUnited States",128,80.1,102.4,
311,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyUnited States",128,80.1,102.4,
312,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyUnited States",128,80.1,102.4,
313,"HPC 10000 400 MHz Cluster,                 Oracle                TelemarBrazil",128,80.1,102.4,
314,"HPC 10000 400 MHz Cluster,                 Oracle                W.W. GraingerUnited States",128,80.1,102.4,
315,"HPC 10000 400 MHz Cluster,                 Oracle                eBayUnited States",128,80.1,102.4,
316,"SP Power3 375 MHz,                 IBM                AT&TUnited States",76,79.9,114.0,
317,"SP Power3 375 MHz,                 IBM                TRWUnited States",76,79.9,114.0,
318,"SP Power3 375 MHz,                 IBM                ThyssenKrupp Information SystemsGermany",76,79.9,114.0,
319,"SP PC604e 332 MHz,                 IBM                Deutsche BankGermany",188,79.5,124.83,
320,"SP P2SC 160 MHz,                 IBM                GovernmentUnited Kingdom",178,78.4,113.9,
321,"SP Power3 375 MHz,                 IBM                COMDIRECT Bank AGGermany",74,77.9,111.0,
322,"SP Power3 375 MHz,                 IBM                GWA WebUnited States",74,77.9,111.0,
323,"SP PC604e 332 MHz,                 IBM                RWEGermany",184,77.8,122.17,
324,"SP PC604e 332 MHz,                 IBM                TELUS Communications Inc.Canada",184,77.8,122.17,
325,"SX-4/40H2,                 NEC                HWW/Universitaet StuttgartGermany",40,77.2,80.0,
326,"HPC 420 450 MHz Cluster,                 Oracle                Internet Service ProviderUnited States",112,77.01,100.8,
327,"ORIGIN 2000,                 HPE                Naval Oceanographic Office - NAVO DSRCUnited States",256,76.9,99.84,
328,"SP Power3 200 MHz,                 IBM                Deutsche Telekom AGGermany",128,76.77,102.4,
329,"SP Power3 200 MHz,                 IBM                IBM ResearchSwitzerland",128,76.77,102.4,
330,"SP Power3 375 MHz,                 IBM                British AirwaysUnited Kingdom",72,75.9,108.0,
331,"SP Power3 375 MHz,                 IBM                Ensign GeophysicsUnited Kingdom",72,75.9,108.0,
332,"SP Power3 375 MHz,                 IBM                Georgia Institute of TechnologyUnited States",72,75.9,108.0,
333,"HPC 10000 400 MHz Cluster,                 Oracle                Bank (F)United Kingdom",120,75.8,96.0,
334,"HPC 10000 400 MHz Cluster,                 Oracle                DutchtoneNetherlands",120,75.8,96.0,
335,"HPC 10000 400 MHz Cluster,                 Oracle                MediaSpain",120,75.8,96.0,
336,"HPC 10000 400 MHz Cluster,                 Oracle                T-OnlineGermany",120,75.8,96.0,
337,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyItaly",120,75.8,96.0,
338,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyItaly",120,75.8,96.0,
339,"HPC 10000 400 MHz Cluster,                 Oracle                debis SystemhausGermany",120,75.8,96.0,
340,"SP PC604e 332 MHz,                 IBM                FT UEI AntonyFrance",178,75.2,118.19,
341,"T3E,                 Cray/HPE                NRI for Earth Science and Disaster (NIED)Japan",172,74.5,103.2,
342,"SP Power3 200 MHz,                 IBM                Lockheed MartinUnited States",124,74.4,99.2,
343,"SP Power3 375 MHz,                 IBM                Manufacturing CompanyUnited States",70,73.8,105.0,
344,"SP PC604e 332 MHz,                 IBM                2 The MartUnited States",174,73.6,115.5,
345,"SP PC604e 332 MHz,                 IBM                ThyssenKrupp Information SystemsGermany",236,73.1,156.7,
346,"ORIGIN 2000 300 MHz - Eth-Cluster,                 HPE                Norwegian University of Science and TechnologyNorway",160,72.57,96.0,
347,"SP PC604e 332 MHz,                 IBM                Deutsche BankGermany",170,71.9,112.88,
348,"SP Power3 375 MHz,                 IBM                AdapcoUnited States",68,71.8,102.0,
349,"ORIGIN 2000 400 MHz,                 HPE                IUCC/HPCUIsrael",112,71.7,89.6,
350,"ORIGIN 2000 400 MHz,                 HPE                Saab Automobile ABSweden",112,71.7,89.6,
351,"T3E,                 Cray/HPE                GovernmentUnited States",164,71.1,98.4,
352,"SP PC604e 332 MHz,                 IBM                Zuerich VersicherungSwitzerland",168,71.0,111.55,
353,"SP Power3 222 MHz,                 IBM                European Patent OfficeGermany",112,71.0,99.4,
354,"SP Power3 375 MHz 16 way,                 IBM                NASA/Goddard Space Flight CenterUnited States",64,70.6,96.0,
355,"SP Power3 375 MHz 16 way,                 IBM                Universite des Sciences et Technologies de LilleFrance",64,70.6,96.0,
356,"SP PC604e 332 MHz,                 IBM                Deutsche BankSwitzerland",166,70.2,110.22,
357,"HPC 10000 400 MHz Cluster,                 Oracle                AT&TUnited States",112,70.12,89.6,
358,"HPC 10000 400 MHz Cluster,                 Oracle                Computer ManufacturerUnited States",112,70.12,89.6,
359,"HPC 10000 400 MHz Cluster,                 Oracle                Prudential InsuranceUnited Kingdom",112,70.12,89.6,
360,"SP Power3 375 MHz,                 IBM                Joy TechnologiesUnited States",66,69.8,99.0,
361,"SP PC604e 332 MHz,                 IBM                DeTeCSMGermany",164,69.4,108.89,
362,"SX-4/36H2,                 NEC                National Institute for Environmental StudiesJapan",36,69.4,72.0,
363,"SP2/402,                 IBM                Chip Manufacturer (B)United States",402,69.33,106.93,
364,"HPC 10000 400 MHz Cluster,                 Oracle                KT FreetelSouth Korea",110,68.77,88.0,
365,"SP PC604e 332 MHz,                 IBM                BASFGermany",162,68.5,107.56,
366,"SP PC604e 332 MHz,                 IBM                Dregis (Dresdner global IT services)Germany",162,68.5,107.56,
367,"SP P2SC 120 MHz,                 IBM                Centre Informatique National (CINES)France",207,67.8,99.36,
368,"SP Power3 375 MHz,                 IBM                AerospaceFrance",64,67.78,96.0,
369,"SP Power3 375 MHz,                 IBM                C4 / Centre Europeo del Parallelismo de BarcelonaSpain",64,67.78,96.0,
370,"SP Power3 375 MHz,                 IBM                CINECAItaly",64,67.78,96.0,
371,"SP Power3 375 MHz,                 IBM                CaltechUnited States",64,67.78,96.0,
372,"SP Power3 375 MHz,                 IBM                Ensign GeophysicsUnited Kingdom",64,67.78,96.0,
373,"SP Power3 375 MHz,                 IBM                IBMUnited States",64,67.78,96.0,
374,"SP Power3 375 MHz,                 IBM                Indiana UniversityUnited States",64,67.78,96.0,
375,"SP Power3 375 MHz,                 IBM                Manufacturing CompanyJapan",64,67.78,96.0,
376,"SP Power3 375 MHz,                 IBM                Manufacturing CompanyJapan",64,67.78,96.0,
377,"SP Power3 375 MHz,                 IBM                National Cancer InstituteUnited States",64,67.78,96.0,
378,"SP Power3 375 MHz,                 IBM                Norwest Financial ServicesUnited States",64,67.78,96.0,
379,"SP Power3 375 MHz,                 IBM                PSA Peugeot CitroenFrance",64,67.78,96.0,
380,"SP Power3 375 MHz,                 IBM                Philip MorrisUnited States",64,67.78,96.0,
381,"SP Power3 375 MHz,                 IBM                Science Applications International Corporation (SAIC)United States",64,67.78,96.0,
382,"SP Power3 375 MHz,                 IBM                VolvoSweden",64,67.78,96.0,
383,"SP Power3 375 MHz,                 IBM                Western GeophysicalUnited States",64,67.78,96.0,
384,"SP PC604e 332 MHz,                 IBM                SOGEIItaly",160,67.7,106.24,
385,"SP PC604e 332 MHz,                 IBM                Telecom ItaliaItaly",160,67.7,106.24,
386,"T3E900,                 Cray/HPE                GovernmentUnited States",108,67.6,97.2,
387,"HPC 10000 333 MHz Cluster,                 Oracle                Telecommunication CompanyJapan",128,66.93,85.24,
388,"SP PC604e 332 MHz,                 IBM                GovernmentFrance",158,66.8,104.91,
389,"ORIGIN 2000 250 MHz - Eth-Cluster,                 HPE                NASA/Ames Research Center/NASUnited States",192,66.7,96.0,
390,"ORIGIN 2000 400 MHz,                 HPE                University of ArizonaUnited States",104,66.6,83.2,
391,"SP PC604e 332 MHz,                 IBM                Federal ExpressUnited States",156,66.0,103.58,
392,"SP PC604e 332 MHz,                 IBM                TRWUnited States",156,66.0,103.58,
393,"HPC 420 450 MHz Cluster,                 Oracle                MonsantoUnited States",96,65.8,86.4,
394,"HPC 450 400 MHz Cluster,                 Oracle                MonsantoUnited States",96,65.8,76.8,
395,"SP P2SC 160 MHz,                 IBM                KTH - Royal Institute of TechnologySweden",146,64.8,93.44,
396,"HPC 10000 400 MHz Cluster,                 Oracle                Telecommunication CompanyBrazil",104,64.73,83.2,
397,"SCore II/PIII 800 MHz,                 Self-made                Real World Computing (RWCP)/Tsukuba Research CenterJapan",132,64.7,105.6,
398,"ORIGIN 3000 400 MHz,                 HPE                Centre Informatique National (CINES)France",96,64.2,76.8,
399,"N4000 440 MHz/HyperPlex,                 HPE                DaimlerChryslerUnited States",96,63.8,168.96,
400,"N4000 440 MHz/HyperPlex,                 HPE                University of KentuckyUnited States",96,63.8,168.96,
