Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
1,"ASCI White, SP Power3 375 MHz,                 IBM                Lawrence Livermore National LaboratoryUnited States",8192,4938.0,12288.0,
2,"ASCI Red,                 Intel                Sandia National LaboratoriesUnited States",9632,2379.0,3207.0,
3,"ASCI Blue-Pacific SST, IBM SP 604e,                 IBM                Lawrence Livermore National LaboratoryUnited States",5808,2144.0,3856.5,
4,"ASCI Blue Mountain,                 HPE                Los Alamos National LaboratoryUnited States",6144,1608.0,3072.0,
5,"SP Power3 375 MHz,                 IBM                Naval Oceanographic Office - NAVO DSRCUnited States",1336,1417.0,2004.0,
6,"SP Power3 375 MHz,                 IBM                NOAA R&D/ National Centers for Environmental PredictionUnited States",1104,1179.0,1656.0,
7,"SR8000-F1/112,                 Hitachi                Leibniz RechenzentrumGermany",112,1035.0,1344.0,
8,"SP Power3 375 MHz 8 way,                 IBM                UCSD/San Diego Supercomputer CenterUnited States",1152,929.0,1728.0,
9,"SR8000-F1/100,                 Hitachi                High Energy Accelerator Research Organization /KEKJapan",100,917.0,1200.0,
10,"T3E1200,                 Cray/HPE                GovernmentUnited States",1084,892.0,1300.8,
11,"T3E1200,                 Cray/HPE                US Army HPC Research Center at NCSUnited States",1084,892.0,1300.8,
12,"VPP5000/100,                 Fujitsu                ECMWFUnited Kingdom",100,886.0,960.0,
13,"SR8000/128,                 Hitachi                University of TokyoJapan",128,873.0,1024.0,
14,"T3E900,                 Cray/HPE                GovernmentUnited States",1324,815.0,1191.6,
15,"SP Power3 375 MHz,                 IBM                Charles SchwabUnited States",768,795.0,1152.0,
16,"SP Power3 375 MHz,                 IBM                North Carolina Supercomputing Center (NCSC)United States",720,741.0,1080.0,
17,"SP Power3 375 MHz,                 IBM                DOE/SC/Oak Ridge National LaboratoryUnited States",704,723.0,1056.0,
18,"SR8000-E1/80,                 Hitachi                Japan Meteorological AgencyJapan",80,691.3,768.0,
19,"ORIGIN 2000 250 MHz,                 HPE                Los Alamos National Laboratory/ACLUnited States",2048,690.9,1024.0,
20,"SP Power3 375 MHz,                 IBM                National Center for Atmospheric Research (NCAR)United States",668,688.0,1002.0,
21,"T3E900,                 Cray/HPE                Naval Oceanographic Office - NAVO DSRCUnited States",1084,675.0,975.6,
