Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
101,"T932/321024,                 Cray/HPE                NRI for Earth Science and Disaster (NIED)Japan",32,29.36,57.6,
102,"T932/321024,                 Cray/HPE                Nippon Telegraph and Telephone (NTT)Japan",32,29.36,57.6,
103,"S-3800/480,                 Hitachi                Hitachi Ltd. Enterprise Server DivisionJapan",4,28.4,32.0,
104,"S-3800/480,                 Hitachi                Japan Meteorological AgencyJapan",4,28.4,32.0,
105,"S-3800/480,                 Hitachi                University of TokyoJapan",4,28.4,32.0,
106,"VPP300/13,                 Fujitsu                Australian National UniversityAustralia",13,27.7,28.6,
107,"Exemplar X-Class,                 HPE                Caltech/JPLUnited States",64,27.56,46.08,
108,"Exemplar X-Class,                 HPE                Caltech/JPLUnited States",64,27.56,46.08,
109,"Exemplar X-Class,                 HPE                HTCGermany",64,27.56,46.08,
110,"Exemplar X-Class,                 HPE                NCSAUnited States",64,27.56,46.08,
111,"Exemplar X-Class,                 HPE                Naval Research Laboratory (NRL)United States",64,27.56,46.08,
112,"SP P2SC 120 MHz,                 IBM                Centre Informatique National (CINES)France",79,27.3,37.92,
113,"T932/261024,                 Cray/HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",26,26.96,46.8,
114,"HPC 10000,                 Oracle                AT&TUnited States",64,26.45,32.0,
115,"HPC 10000,                 Oracle                AT&TUnited States",64,26.45,32.0,
116,"HPC 10000,                 Oracle                AT&TUnited States",64,26.45,32.0,
117,"HPC 10000,                 Oracle                Chalmers University of TechnologySweden",64,26.45,32.0,
118,"HPC 10000,                 Oracle                SunUnited States",64,26.45,32.0,
119,"HPC 10000,                 Oracle                SunUnited States",64,26.45,32.0,
120,"HPC 10000,                 Oracle                University of TokyoJapan",64,26.45,32.0,
121,"HPC 10000,                 Oracle                Virginia SocialUnited States",64,26.45,32.0,
122,"T932/24512,                 Cray/HPE                Commissariat a l'Energie Atomique (CEA)France",24,26.17,43.2,
123,"T932/24512,                 Cray/HPE                Commissariat a l'Energie Atomique (CEA)France",24,26.17,43.2,
124,"T932/241024,                 Cray/HPE                Ford Motor CompanyUnited States",24,26.17,43.2,
125,"VPP300/12,                 Fujitsu                Japan Atomic Energy Research InstituteJapan",12,25.6,26.4,
126,"SP2 77 MHz wide,                 IBM                DOE/SC/Pacific Northwest National LaboratoryUnited States",128,25.42,39.42,
127,"T3D MC256-8/464,                 Cray/HPE                Bear StearnsUnited States",256,25.3,38.4,
128,"T3D SC256-8/264,                 Cray/HPE                Caltech/JPLUnited States",256,25.3,38.4,
129,"T3D MC256-8,                 Cray/HPE                Defense Research Agency (DRA)United Kingdom",256,25.3,38.4,
130,"T3D MC256-8,                 Cray/HPE                Ecole Polytechnique Federale de LausanneSwitzerland",256,25.3,38.4,
131,"T3D MC256-8,                 Cray/HPE                Petroleum Company (A)United States",256,25.3,38.4,
132,"T3D SC256-8/464,                 Cray/HPE                ZIB/Konrad Zuse-Zentrum fuer InformationstechnikGermany",256,25.3,38.4,
133,"T3E,                 Cray/HPE                Manufacturer (G)United States",64,25.1,38.4,
134,"AlphaServer 8400 Cluster,                 HPE                Lawrence Livermore National LaboratoryUnited States",80,24.7,70.4,
135,"AlphaServer 8400 Cluster,                 HPE                Digital Equipment CorporationUnited States",64,24.7,56.3,
136,"VPP500/16,                 Fujitsu                Reactor & Nuclear Fuel DevelopmentJapan",16,23.6,25.6,
137,"SX-3/44R,                 NEC                Tohoku UniversityJapan",4,23.2,25.6,
138,"SX-4/12A,                 NEC                Veritas DGCUnited Kingdom",12,23.2,24.0,
139,"SP P2SC 120 MHz,                 IBM                HPC2N - Umea UniversitySweden",66,23.18,31.68,
140,"SP P2SC 120 MHz,                 IBM                University of HoustonUnited States",64,22.55,30.72,
141,"Exemplar X-Class,                 HPE                Arnold Engineering Development Center (AEDC)United States",48,22.31,34.56,
142,"Exemplar X-Class,                 HPE                Tohoku UniversityJapan",48,22.31,34.56,
143,"Exemplar X-Class,                 HPE                Universitaet LeipzigGermany",48,22.31,34.56,
144,"Exemplar X-Class,                 HPE                Universitaet MainzGermany",48,22.31,34.56,
145,"VPP500/15,                 Fujitsu                Kyoto UniversityJapan",15,22.1,24.0,
146,"T3E900,                 Cray/HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",40,21.75,36.0,
147,"T3E900,                 Cray/HPE                Universitaet RostockGermany",40,21.75,36.0,
148,"HPC 10000,                 Oracle                Micron TechnologyUnited States",52,21.68,26.0,
149,"S-3800/380,                 Hitachi                Hokkaido UniversityJapan",3,21.6,24.0,
150,"S-3800/380,                 Hitachi                Institute for Materials Research, Tohoku University (IMR)Japan",3,21.6,24.0,
151,"HPC 10000,                 Oracle                Allstate InsuranceUnited States",50,21.05,25.0,
152,"T3E,                 Cray/HPE                AWI (Alfred Wegener Institut)Germany",52,20.4,31.2,
153,"T3E,                 Cray/HPE                University of TexasUnited States",52,20.4,31.2,
154,"SP2/110,                 IBM                KTH - Royal Institute of TechnologySweden",110,20.37,29.21,
155,"HPC 10000,                 Oracle                Ministry of the InteriorSouth Korea",48,20.3,24.0,
156,"HPC 10000,                 Oracle                Ministry of the InteriorSouth Korea",48,20.3,24.0,
157,"HPC 10000,                 Oracle                National Reserve BankRussia",48,20.3,24.0,
158,"HPC 10000,                 Oracle                Oracle CorporationUnited States",48,20.3,24.0,
159,"HPC 10000,                 Oracle                Oracle CorporationUnited States",48,20.3,24.0,
160,"HPC 10000,                 Oracle                Toshiba Corp - Power Systems & Service CompanyJapan",48,20.3,24.0,
161,"T916/161024,                 Cray/HPE                Naval Oceanographic Office - NAVO DSRCUnited States",16,19.98,28.8,
162,"T916/16512,                 Cray/HPE                Nissan MotorJapan",16,19.98,28.8,
163,"SP P2SC 120 MHz,                 IBM                Chase ManhattanUnited States",56,19.75,26.88,
164,"T3E900,                 Cray/HPE                North Carolina Supercomputing Center (NCSC)United States",36,19.57,32.4,
165,"SP2/104,                 IBM                MCI WorldcomUnited States",104,19.34,27.62,
166,"ORIGIN 2000,                 HPE                NCSAUnited States",128,19.23,49.92,
167,"ORIGIN 2000,                 HPE                Silicon GraphicsUnited States",128,19.23,49.92,
168,"ORIGIN 2000,                 HPE                Air Force Research LaboratoryUnited States",64,19.23,24.96,
169,"ORIGIN 2000,                 HPE                Air Force Research LaboratoryUnited States",64,19.23,24.96,
170,"ORIGIN 2000,                 HPE                Automotive ManufacturerJapan",64,19.23,24.96,
171,"ORIGIN 2000,                 HPE                Boston UniversityUnited States",64,19.23,24.96,
172,"ORIGIN 2000,                 HPE                Boston UniversityUnited States",64,19.23,24.96,
173,"ORIGIN 2000,                 HPE                Boston UniversityUnited States",64,19.23,24.96,
174,"ORIGIN 2000,                 HPE                C4 / Centre Europeo del Parallelismo de BarcelonaSpain",64,19.23,24.96,
175,"ORIGIN 2000,                 HPE                Centre de Res. Inform. de Haute Normandie (CRIHAN)France",64,19.23,24.96,
176,"ORIGIN 2000,                 HPE                Chalmers University of TechnologySweden",64,19.23,24.96,
177,"ORIGIN 2000,                 HPE                E-Systems/RaytheonUnited States",64,19.23,24.96,
178,"ORIGIN 2000,                 HPE                Government ContractorUnited States",64,19.23,24.96,
179,"ORIGIN 2000,                 HPE                INRIA-Lorraine/Centre Charles HermiteFrance",64,19.23,24.96,
180,"ORIGIN 2000,                 HPE                Indiana UniversityUnited States",64,19.23,24.96,
181,"ORIGIN 2000,                 HPE                Kyoto UniversityJapan",64,19.23,24.96,
182,"ORIGIN 2000,                 HPE                Kyoto UniversityJapan",64,19.23,24.96,
183,"ORIGIN 2000,                 HPE                Lockheed MartinUnited States",64,19.23,24.96,
184,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",64,19.23,24.96,
185,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",64,19.23,24.96,
186,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",64,19.23,24.96,
187,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",64,19.23,24.96,
188,"ORIGIN 2000,                 HPE                Manufacturer (G)United States",64,19.23,24.96,
189,"ORIGIN 2000,                 HPE                NASA/Ames Research Center/NASUnited States",64,19.23,24.96,
190,"ORIGIN 2000,                 HPE                NASA/Ames Research Center/NAS/DAOUnited States",64,19.23,24.96,
191,"ORIGIN 2000,                 HPE                NASA/Ames Research Center/NAS/DAOUnited States",64,19.23,24.96,
192,"ORIGIN 2000,                 HPE                NASA/Langley Research CenterUnited States",64,19.23,24.96,
193,"ORIGIN 2000,                 HPE                NCSAUnited States",64,19.23,24.96,
194,"ORIGIN 2000,                 HPE                NCSAUnited States",64,19.23,24.96,
195,"ORIGIN 2000,                 HPE                NCSAUnited States",64,19.23,24.96,
196,"ORIGIN 2000,                 HPE                NCSAUnited States",64,19.23,24.96,
