Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
401,"xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet,                 IBM                Banking (M)United States",12192,68.7,123.38,370
402,"xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet,                 IBM                Banking (M)United States",12192,68.7,123.38,370
403,"xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet,                 IBM                Banking (M)United States",12192,68.7,123.38,370
404,"Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, 10G Ethernet,                 HPE                IT Service ProviderUnited Kingdom",7968,68.64,93.39,
405,"Cluster Platform SL170s/160z, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet,                 HPE                Web Company (F)United States",12444,68.6,132.4,
406,"Cluster Platform SL170s/160z, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet,                 HPE                Web Company (F)United States",12444,68.6,132.4,
407,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.530GHz, Gigabit Ethernet,                 IBM                Banking (M)United States",12156,68.5,123.02,310
408,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet,                 IBM                Engineering CompanyChina",12156,68.5,142.47,387
409,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet,                 IBM                Engineering CompanyChina",12156,68.5,142.47,387
410,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet,                 IBM                Engineering CompanyChina",12156,68.5,142.47,387
411,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet,                 IBM                Engineering CompanyChina",12156,68.5,142.47,387
412,"Abe - PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4,                 DELL EMC                NCSAUnited States",9600,68.48,89.59,
413,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE,                 IBM                Internet Service (B)China",12120,68.3,122.65,368
414,"Hrothgar - Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR,                 DELL EMC                Texas Tech UniversityUnited States",7524,68.27,84.54,
415,"BladeCenter HS22 Cluster (WM), Xeon L5640 6C 2.26 GHz, Gigabit Ethernet,                 IBM                Financial Services (H)United States",13548,68.2,122.47,293
416,"Midway - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR,                 IBM                University of ChicagoUnited States",3520,68.19,73.22,73
417,"Cluster Platform SL390s G7, Xeon X5690 6C 3.47GHz, Gigabit Ethernet, NVIDIA 2090,                 HPE                GovernmentSingapore",6720,67.77,242.09,
