Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
101,"T3E1200,                 Cray/HPE                Forschungszentrum Juelich (FZJ)Germany",540,447.0,648.0,
102,"T3E1200,                 Cray/HPE                GovernmentUnited States",540,447.0,648.0,
103,"T3E1200,                 Cray/HPE                GovernmentUnited States",540,447.0,648.0,
104,"T3E1200,                 Cray/HPE                GovernmentUnited States",540,447.0,648.0,
105,"T3E900,                 Cray/HPE                DOE/SC/LBNL/NERSCUnited States",692,444.0,622.8,
106,"ACL-580,                 HPTi                Forecast Systems Laboratory - NOAAUnited States",580,442.7,841.0,
107,"Prairiefire AMD 1.4 GHz - Myrinet,                 Atipa Technology                University of NebraskaUnited States",256,442.5,716.8,
108,"SP Power3 375 MHz,                 IBM                Financial InstitutionHong Kong",424,441.0,636.0,
109,"SuperDome 750 MHz/HyperPlex,                 HPE                University of KentuckyUnited States",224,431.7,672.0,
110,"pSeries 690 Turbo 1.3GHz GigEth,                 IBM                GovernmentUnited States",176,430.0,915.2,
111,"pSeries 690 Turbo 1.3GHz GigEth,                 IBM                PostbankGermany",176,430.0,915.2,
112,"HPC 4500 400 MHz Cluster,                 Oracle                DefenseSweden",896,420.44,716.8,
113,"HPC 4500 400 MHz Cluster,                 Oracle                Service ProviderUnited States",896,420.44,716.8,
114,"HPC 4500 400 MHz Cluster,                 Oracle                Service ProviderUnited States",896,420.44,716.8,
115,"HPC 4500 400 MHz Cluster,                 Oracle                SunUnited States",896,420.44,716.8,
116,"ORIGIN 3000 600 MHz,                 HPE                NASA/Ames Research Center/NASUnited States",1024,405.6,1228.8,
117,"ORIGIN 3000 600 MHz,                 HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",896,405.6,1075.0,
118,"ORIGIN 3000 600 MHz,                 HPE                Norwegian University of Science and TechnologyNorway",512,405.6,614.4,
119,"ORIGIN 3000 500 MHz,                 HPE                Fleet Numerical Meteorology and Oceanography CenterUnited States",512,405.6,512.0,
120,"ORIGIN 3000 500 MHz,                 HPE                GovernmentUnited States",512,405.6,512.0,
121,"ORIGIN 3000 500 MHz,                 HPE                Japan Atomic Energy Research InstituteJapan",512,405.6,512.0,
122,"ORIGIN 3000 500 MHz,                 HPE                Kyoto University, Institute for Chemical ResearchJapan",512,405.6,512.0,
123,"ORIGIN 3000 500 MHz,                 HPE                SARA (Stichting Academisch Rekencentrum)Netherlands",512,405.6,512.0,
124,"ORIGIN 3000 500 MHz,                 HPE                SARA (Stichting Academisch Rekencentrum)Netherlands",512,405.6,512.0,
125,"CP-PACS/2048,                 Hitachi/Tsukuba                Center for Computational Sciences, University of TsukubaJapan",2048,368.2,614.4,
126,"Netfinity Cluster PIII 1.4 GHz - Eth,                 IBM                Geoscience (C)United Kingdom",1280,366.0,1792.0,
127,"Netfinity Cluster PIII 1/1.26 GHz - Eth,                 IBM                Mississippi State UniversityUnited States",1024,366.0,1144.0,
128,"SuperDome 750 MHz/HyperPlex,                 HPE                Centrica PlcUnited Kingdom",192,361.4,576.0,
129,"SuperDome 750 MHz/HyperPlex,                 HPE                Hewlett-PackardUnited States",192,361.4,576.0,
130,"Fire 15K,                 Oracle                Universitaet Aachen/RWTHGermany",288,357.1,518.4,
131,"T3E,                 Cray/HPE                Max-Planck-Gesellschaft MPI/IPPGermany",812,355.0,487.2,
132,"AlphaServer SC40, 833 MHz,                 HPE                ERDC DSRCUnited States",256,344.1,426.5,
