Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
401,"ORIGIN 2000 250 MHz,                 HPE                HoneywellUnited States",96,38.84,48.0,
402,"ORIGIN 2000 250 MHz,                 HPE                Lockheed Martin Energy Systems/ORNL Y-12United States",96,38.84,48.0,
403,"SX-4/20,                 NEC                Japan Marine Science and TechnologyJapan",20,38.7,40.0,
404,"SX-4/20,                 NEC                National Research Institute for MetalsJapan",20,38.7,40.0,
405,"SX-4/20,                 NEC                Toyota Central Research & DevelopmentJapan",20,38.7,40.0,
406,"HPC 10000 400 MHz,                 Oracle                CommerzbankGermany",56,38.53,44.8,
407,"HPC 10000 400 MHz,                 Oracle                Mannesmann MobilfunkGermany",56,38.53,44.8,
408,"HPC 10000 400 MHz,                 Oracle                Mannesmann MobilfunkGermany",56,38.53,44.8,
409,"HPC 10000 400 MHz,                 Oracle                SitaCanada",56,38.53,44.8,
410,"HPC 10000 400 MHz,                 Oracle                W.W. GraingerUnited States",56,38.53,44.8,
411,"VPP700/17E,                 Fujitsu                Communications Res. Lab. (CRL)Japan",17,38.5,40.8,
412,"HPC 6000 ""Wildfire"",                 Oracle                Naval Research Laboratory (NRL)United States",96,38.13,48.0,
413,"SP PC604e 332 MHz,                 IBM                VF ServicesUnited States",120,38.1,79.68,
414,"SP PC604e 332 MHz,                 IBM                Western GeophysicalUnited States",120,38.1,79.68,
415,"T3E,                 Cray/HPE                University of TexasUnited States",86,37.7,51.6,
416,"VPP5000/4,                 Fujitsu                Audi AGGermany",4,37.6,38.4,
417,"SP PC604e 332 MHz,                 IBM                Bank (I)United Kingdom",118,37.57,78.35,
418,"SP Power3 200 MHz,                 IBM                Geoscience (A)China",60,37.4,48.0,
419,"SX-5/5B,                 NEC                IFP Energies nouvellesFrance",5,37.4,40.0,
420,"ORIGIN 2000 300 MHz - Eth-Cluster,                 HPE                Industrial Light & MagicUnited States",128,37.31,76.8,
421,"ORIGIN 2000 250 MHz - Eth-Cluster,                 HPE                GovernmentUnited States",144,37.31,72.0,
422,"ORIGIN 2000 250 MHz - Eth-Cluster,                 HPE                America On Line (AOL)United States",128,37.31,64.0,
423,"ORIGIN 2000 250 MHz - Eth-Cluster,                 HPE                Industrial Light & MagicUnited States",128,37.31,64.0,
424,"ORIGIN 2000 250 MHz - Eth-Cluster,                 HPE                The Sabre GroupUnited States",128,37.31,64.0,
425,"T932/24512,                 Cray/HPE                Commissariat a l'Energie Atomique (CEA)France",24,37.21,43.2,
426,"T932/241024,                 Cray/HPE                Ford Motor CompanyUnited States",24,37.21,43.2,
427,"HPC 10000 400 MHz,                 Oracle                Cedel BankLuxembourg",54,37.18,43.2,
428,"HPC 10000 400 MHz,                 Oracle                Cedel BankLuxembourg",54,37.18,43.2,
429,"HPC 10000 400 MHz,                 Oracle                Deutsche Telekom AGGermany",54,37.18,43.2,
