Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
401,"Y-MP8/864,                 Cray/HPE                DOE/Bettis Atomic Power LaboratoryUnited States",8,2.14,2.67,
402,"Y-MP8/864,                 Cray/HPE                DOE/Knolls Atomic Power LaboratoryUnited States",8,2.14,2.67,
403,"Y-MP8/8128,                 Cray/HPE                ERDC DSRCUnited States",8,2.14,2.67,
404,"Y-MP8/864,                 Cray/HPE                Forschungszentrum Juelich (FZJ)Germany",8,2.14,2.67,
405,"Y-MP8/864,                 Cray/HPE                Hong Kong Polytechnic UniversityHong Kong",8,2.14,2.67,
406,"Y-MP8/8128,                 Cray/HPE                Lawrence Livermore National LaboratoryUnited States",8,2.14,2.67,
407,"Y-MP8/864,                 Cray/HPE                Lawrence Livermore National LaboratoryUnited States",8,2.14,2.67,
408,"Y-MP8/8128,                 Cray/HPE                Leibniz RechenzentrumGermany",8,2.14,2.67,
409,"Y-MP8/8128,                 Cray/HPE                Los Alamos National LaboratoryUnited States",8,2.14,2.67,
410,"Y-MP8/864,                 Cray/HPE                Los Alamos National LaboratoryUnited States",8,2.14,2.67,
411,"Y-MP8I/8128,                 Cray/HPE                Merck & CoUnited States",8,2.14,2.67,
412,"Y-MP8E/8256,                 Cray/HPE                NASA/Langley Research CenterUnited States",8,2.14,2.67,
413,"Y-MP8E/8128,                 Cray/HPE                NASA/Lewis Research CenterUnited States",8,2.14,2.67,
414,"Y-MP8I/8128,                 Cray/HPE                NASA/Marshall Space Flight CenterUnited States",8,2.14,2.67,
415,"Y-MP8/864,                 Cray/HPE                NOAAUnited States",8,2.14,2.67,
416,"Y-MP8/864,                 Cray/HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",8,2.14,2.67,
417,"Y-MP8/8128,                 Cray/HPE                National Cancer InstituteUnited States",8,2.14,2.67,
418,"Y-MP8/864,                 Cray/HPE                National Center for Atmospheric Research (NCAR)United States",8,2.14,2.67,
419,"Y-MP8I/864,                 Cray/HPE                National Center for Atmospheric Research (NCAR)United States",8,2.14,2.67,
420,"Y-MP8/8256,                 Cray/HPE                National Security AgencyUnited States",8,2.14,2.67,
421,"Y-MP8/8128,                 Cray/HPE                Naval Oceanographic Office - NAVO DSRCUnited States",8,2.14,2.67,
422,"Y-MP8E/8128,                 Cray/HPE                Navy POPS Supercomputing FacilityUnited States",8,2.14,2.67,
423,"Y-MP8/864,                 Cray/HPE                Ohio Supercomputer CenterUnited States",8,2.14,2.67,
424,"Y-MP8I/8128,                 Cray/HPE                Rutherford Appleton LaboratoryUnited Kingdom",8,2.14,2.67,
425,"Y-MP8/864,                 Cray/HPE                University of TexasUnited States",8,2.14,2.67,
426,"Y-MP8/8128,                 Cray/HPE                VW (Volkswagen AG)Germany",8,2.14,2.67,
427,"VPX240/10,                 Fujitsu                Centro de Supercomp. de GaliciaSpain",1,2.11,2.5,
428,"VPX240/10,                 Fujitsu                Fuji Denki KagakuJapan",1,2.11,2.5,
429,"VPX240/20,                 Fujitsu                Geco-PraklaUnited States",1,2.11,2.5,
430,"VPX240/10,                 Fujitsu                High Performance Computing CenterCanada",1,2.11,2.5,
431,"VPX240/10,                 Fujitsu                IFP Energies nouvellesFrance",1,2.11,2.5,
432,"VPX240/10,                 Fujitsu                University of ManchesterUnited Kingdom",1,2.11,2.5,
433,"XP/S5,                 Intel                BoeingUnited States",66,2.06,3.3,
434,"XP/S5,                 Intel                DOE/SC/Oak Ridge National LaboratoryUnited States",66,2.06,3.3,
435,"XP/S5,                 Intel                Intel CADUnited States",66,2.06,3.3,
436,"XP/S5,                 Intel                Intel SSD Development CentersUnited States",66,2.06,3.3,
437,"XP/S5,                 Intel                Intel SSD Development CentersUnited States",66,2.06,3.3,
438,"XP/S5,                 Intel                Intel SSD Development CentersGermany",66,2.06,3.3,
439,"XP/S5,                 Intel                Mitsubishi Electric CorporationJapan",66,2.06,3.3,
440,"XP/S5,                 Intel                NASA/Langley Research CenterUnited States",66,2.06,3.3,
441,"XP/S5,                 Intel                Prudential SecuritiesUnited States",66,2.06,3.3,
442,"XP/S5,                 Intel                Real World Computing (RWCP)Japan",66,2.06,3.3,
443,"XP/S5,                 Intel                Tokyo UniversityJapan",66,2.06,3.3,
444,"SP2/11,                 IBM                Commissariat a l'Energie Atomique (CEA)/CESTAFrance",11,2.06,2.93,
445,"SP2/11,                 IBM                University of TexasUnited States",11,2.06,2.93,
446,"KSR1-72,                 Kendall Square Research                INRIA - Sophia AntipolisFrance",72,2.03,2.88,
447,"CS-2/22,                 Meiko                University of EdinburghUnited Kingdom",22,1.99,3.96,
448,"Y-MP J916/14-1024,                 Cray/HPE                Centre CyceronFrance",14,1.99,2.8,
449,"POWER CHALLENGE,                 HPE                Abott LabsUnited States",8,1.96,2.4,
450,"POWER CHALLENGE,                 HPE                BASFGermany",8,1.96,2.4,
451,"POWER CHALLENGE,                 HPE                BMW AGGermany",8,1.96,2.4,
452,"POWER CHALLENGE,                 HPE                BMW AG/ Rolls-RoyceGermany",8,1.96,2.4,
453,"POWER CHALLENGE,                 HPE                Bayer AGGermany",8,1.96,2.4,
454,"POWER CHALLENGE,                 HPE                Bayer AGGermany",8,1.96,2.4,
455,"POWER CHALLENGE,                 HPE                Bristol-Myers SquibbUnited States",8,1.96,2.4,
456,"POWER CHALLENGE,                 HPE                Bristol-Myers SquibbUnited States",8,1.96,2.4,
457,"POWER CHALLENGE,                 HPE                Bristol-Myers SquibbUnited States",8,1.96,2.4,
458,"POWER CHALLENGE,                 HPE                CERCACanada",8,1.96,2.4,
459,"POWER CHALLENGE,                 HPE                Centre Etude NucleaireFrance",8,1.96,2.4,
460,"POWER CHALLENGE,                 HPE                Coleman ResearchUnited States",8,1.96,2.4,
461,"POWER CHALLENGE,                 SGI/Siemens-Nixdorf                DLRGermany",8,1.96,2.4,
462,"POWER CHALLENGE,                 SGI/Siemens-Nixdorf                DLRGermany",8,1.96,2.4,
463,"POWER CHALLENGE,                 HPE                Direction ConstructionFrance",8,1.96,2.4,
464,"POWER CHALLENGE,                 HPE                Du Pont MerckUnited States",8,1.96,2.4,
465,"POWER CHALLENGE,                 HPE                Ford Motor CompanyUnited States",8,1.96,2.4,
466,"POWER CHALLENGE,                 HPE                Geoscience (E)United States",8,1.96,2.4,
467,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
468,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
469,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
470,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
471,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
472,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
473,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
474,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
475,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
476,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
477,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
478,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
479,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
480,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
481,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
482,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
483,"POWER CHALLENGE,                 HPE                GovernmentUnited States",8,1.96,2.4,
484,"POWER CHALLENGE,                 HPE                Harvard Medical SchoolUnited States",8,1.96,2.4,
485,"POWER Onyx,                 HPE                Hong Kong University of Science and TechnologyHong Kong",8,1.96,2.4,
486,"POWER CHALLENGE,                 HPE                Institute for Bioorganic ChemistryPoland",8,1.96,2.4,
487,"POWER CHALLENGE,                 HPE                MIPS Technologies Inc. - Silicon GraphicsUnited States",8,1.96,2.4,
488,"POWER CHALLENGE,                 HPE                Mitsubishi Research Inst. K. K.Japan",8,1.96,2.4,
489,"POWER CHALLENGE,                 HPE                MobilUnited States",8,1.96,2.4,
490,"POWER CHALLENGE,                 HPE                MotorolaUnited States",8,1.96,2.4,
491,"POWER CHALLENGE,                 HPE                NCSAUnited States",8,1.96,2.4,
492,"POWER CHALLENGE,                 HPE                NCSAUnited States",8,1.96,2.4,
493,"POWER CHALLENGE,                 HPE                NCSAUnited States",8,1.96,2.4,
494,"POWER CHALLENGE,                 HPE                NCSAUnited States",8,1.96,2.4,
495,"POWER CHALLENGE,                 HPE                Naval Research Laboratory (NRL)United States",8,1.96,2.4,
496,"POWER Onyx,                 HPE                Naval Research Laboratory (NRL)United States",8,1.96,2.4,
497,"POWER Onyx,                 HPE                Naval Research Laboratory (NRL)United States",8,1.96,2.4,
498,"POWER CHALLENGE,                 HPE                Princeton UniversityUnited States",8,1.96,2.4,
499,"POWER CHALLENGE,                 HPE                SGIUnited States",8,1.96,2.4,
500,"POWER CHALLENGE,                 HPE                Sandia National LaboratoriesUnited States",8,1.96,2.4,
