Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
49,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Semiconductor Company (C)United States",1030,1755.0,5768.0,
50,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Semiconductor Company (C)United States",1028,1755.0,5756.8,
51,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Semiconductor Company (C)United States",1028,1755.0,5756.8,
52,"xSeries Cluster Xeon 2.4 GHz - Gig-E,                 IBM                Compagnie Generale de Geophysique (CGG)United Kingdom",1100,1755.0,5280.0,
53,"xSeries Cluster Xeon 2.4 GHz - Gig-E,                 IBM                Arizona State University/TGENUnited States",1048,1755.0,5030.4,
54,"BladeCenter Cluster Xeon 2.4 GHz, Gig-Ethernet,                 IBM                Paradigm GeophysicalUnited States",1024,1755.0,4915.2,
55,"xSeries Cluster Xeon 2.4 GHz - Gig-E,                 IBM                TotalFinaElfFrance",1024,1755.0,4915.2,
56,"Cluster Platform DL360G3, Pentium4 Xeon 2.8 GHz, Myrinet,                 HPE                Sandia National LaboratoriesUnited States",512,1750.0,2867.0,
57,"Cluster Platform DL360G3, Pentium4 Xeon 2.8 GHz, Myrinet,                 HPE                Sandia National LaboratoriesUnited States",512,1750.0,2867.0,
58,"glacier - BladeCenter Xeon 3.06 GHz, Gig-Ethernet,                 IBM                WestgridCanada",1008,1731.92,6168.96,
59,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                GeotraceUnited States",1000,1720.38,5600.0,
60,"SR8000/MPP,                 Hitachi                University of TokyoJapan",1152,1709.1,2074.0,
61,"xSeries Cluster Xeon 2.4 GHz - Gig-E,                 IBM                SG SGBIFrance",968,1674.23,4646.4,
62,"xSeries Xeon 3.06 GHz, Myrinet,                 IBM                CINECAItaly",512,1669.0,3133.44,
63,"Sun Fire V60 2.8 GHz, IBM Netfinity 2 GHz, Myrinet,                 IBM, Sun, Myricom                University of Southern CaliforniaUnited States",870,1661.0,4056.0,
64,"SR8000-F1/168,                 Hitachi                Leibniz RechenzentrumGermany",168,1653.0,2016.0,
65,"ASCI Blue Mountain,                 HPE                Los Alamos National LaboratoryUnited States",6144,1608.0,3072.0,
66,"xSeries Cluster Xeon 2.4 GHz - Gig-E,                 IBM                GX TechnologyUnited States",880,1547.31,4224.0,
67,"Vplant Cluster P4 XEON 2.4/2.0 GHz - Myrinet,                 DELL EMC                Sandia National LaboratoriesUnited States",660,1504.0,2963.0,
68,"PowerEdge 2650 Cluster P4 Xeon 2.4 GHz/MSWindows - GigE,                 DELL EMC                Cornell Theory CenterUnited States",640,1503.0,3073.0,
69,"SX-6/192M24,                 NEC                DKRZ - Deutsches KlimarechenzentrumGermany",192,1484.0,1536.0,
70,"PowerRACK-HX dual Xeon 2.4 GHz - SMC GigE,                 Self-made                University of TorontoCanada",528,1455.0,2534.4,
71,"Cray X1,                 Cray/HPE                US Army HPC Research Center at NCSUnited States",124,1448.42,1587.2,
72,"Cray X1,                 Cray/HPE                University of Alaska - Arctic Region Supercomputing CenterUnited States",124,1448.42,1587.2,
73,"BlueGene/L DD1 Prototype (0.5GHz PowerPC 440 w/Custom),                 IBM                IBM Thomas J. Watson Research CenterUnited States",1024,1435.0,2048.0,
74,"xSeries Cluster Xeon 3.06 GHz - Gig-E,                 IBM                Semiconductor Company (E)United States",800,1431.92,4986.0,
75,"xSeries Cluster Xeon 2.4 GHz - Gig-E,                 IBM                VerisignUnited States",800,1431.92,3840.0,
76,"pSeries 690 Turbo 1.7 GHz GigEth,                 IBM                IBMUnited States",384,1424.0,2611.2,
77,"Cluster Platform 6000 rx4640-4x136 Itanium2 1.3 GHz, GigE,                 HPE                Energy Company (D)United States",544,1418.0,2828.8,
78,"SP Power3 375 MHz,                 IBM                Naval Oceanographic Office - NAVO DSRCUnited States",1336,1417.0,2004.0,
79,"pSeries 690 Turbo 1.3GHz,                 IBM                CINECAItaly",512,1384.0,2662.4,
80,"SP Power3 375 MHz 16 way,                 IBM                National Center for Atmospheric Research (NCAR)United States",1260,1382.0,1890.0,
81,"SX-7/160M5,                 NEC                National Institute for Fusion Science (NIFS)Japan",160,1378.0,1412.8,
82,"DeepComp 1800 - P4 Xeon 2 GHz - Myrinet,                 Lenovo                Academy of Mathematics and System ScienceChina",512,1297.0,2048.0,
83,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Geoscience (D)Mexico",706,1296.35,3953.6,
84,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Geoscience (D)Mexico",706,1296.35,3953.6,
85,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Geoscience (D)Mexico",706,1296.35,3953.6,
86,"PowerEdge 650, 3.06 GHz, Gig Ethernet,                 DELL EMC                University of LiverpoolUnited Kingdom",940,1212.0,5752.8,
87,"SP Power3 375 MHz 16 way,                 IBM                Lawrence Livermore National LaboratoryUnited States",1088,1193.0,1632.0,
88,"SX-5/128M8 3.2ns,                 NEC                Osaka UniversityJapan",128,1192.0,1280.0,
