Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
201,"Y-MP8/864,                 Cray/HPE                National Center for Atmospheric Research (NCAR)United States",8,2.14,2.67,
202,"Y-MP8/8256,                 Cray/HPE                National Security AgencyUnited States",8,2.14,2.67,
203,"Y-MP8E/8128,                 Cray/HPE                Navy POPS Supercomputing FacilityUnited States",8,2.14,2.67,
204,"Y-MP8/864,                 Cray/HPE                Ohio Supercomputer CenterUnited States",8,2.14,2.67,
205,"Y-MP8I/8128,                 Cray/HPE                Rutherford Appleton LaboratoryUnited Kingdom",8,2.14,2.67,
206,"Y-MP8/864,                 Cray/HPE                Sandia National LaboratoriesUnited States",8,2.14,2.67,
207,"Y-MP8/8128,                 Cray/HPE                Tohoku University, Institute of Fluid ScienceJapan",8,2.14,2.67,
208,"Y-MP8/864,                 Cray/HPE                University of TexasUnited States",8,2.14,2.67,
209,"VPX240/10,                 Fujitsu                Centro de Supercomp. de GaliciaSpain",1,2.11,2.5,
210,"VPX240/20,                 Fujitsu                FujitsuUnited States",1,2.11,2.5,
211,"VPX240/10,                 Fujitsu                High Performance Computing CenterCanada",1,2.11,2.5,
212,"VPX240/10,                 Fujitsu                IFP Energies nouvellesFrance",1,2.11,2.5,
213,"VPX240/10,                 Fujitsu                University of ManchesterUnited Kingdom",1,2.11,2.5,
214,"XP/S5,                 Intel                BoeingUnited States",66,2.06,3.3,
215,"XP/S5,                 Intel                DOE/SC/Oak Ridge National LaboratoryUnited States",66,2.06,3.3,
216,"XP/S5,                 Intel                Intel CADUnited States",66,2.06,3.3,
217,"XP/S5,                 Intel                Intel SSD Development CentersUnited States",66,2.06,3.3,
218,"XP/S5,                 Intel                Intel SSD Development CentersUnited States",66,2.06,3.3,
219,"XP/S5,                 Intel                Intel SSD Development CentersGermany",66,2.06,3.3,
220,"XP/S5,                 Intel                Mitsubishi Electric CorporationJapan",66,2.06,3.3,
221,"XP/S5,                 Intel                Prudential SecuritiesUnited States",66,2.06,3.3,
222,"XP/S5,                 Intel                Real World Computing (RWCP)Japan",66,2.06,3.3,
223,"KSR1-72,                 Kendall Square Research                INRIA - Sophia AntipolisFrance",72,2.03,2.88,
224,"XP/S5,                 Intel                BoeingUnited States",66,2.0,3.3,
225,"XP/S5,                 Intel                BoeingUnited States",66,2.0,3.3,
226,"XP/S5,                 Intel                DOE/SC/Oak Ridge National LaboratoryUnited States",66,2.0,3.3,
227,"XP/S5,                 Intel                DOE/SC/Oak Ridge National LaboratoryUnited States",66,2.0,3.3,
228,"XP/S5,                 Intel                Intel CADUnited States",66,2.0,3.3,
229,"XP/S5,                 Intel                Intel CADUnited States",66,2.0,3.3,
230,"XP/S5,                 Intel                Intel SSD Development CentersUnited States",66,2.0,3.3,
231,"XP/S5,                 Intel                Intel SSD Development CentersUnited States",66,2.0,3.3,
232,"XP/S5,                 Intel                Intel SSD Development CentersUnited States",66,2.0,3.3,
233,"XP/S5,                 Intel                Intel SSD Development CentersUnited States",66,2.0,3.3,
234,"XP/S5,                 Intel                Intel SSD Development CentersGermany",66,2.0,3.3,
235,"XP/S5,                 Intel                Intel SSD Development CentersGermany",66,2.0,3.3,
236,"XP/S5,                 Intel                Mitsubishi Electric CorporationJapan",66,2.0,3.3,
237,"XP/S5,                 Intel                Mitsubishi Electric CorporationJapan",66,2.0,3.3,
238,"XP/S5,                 Intel                Prudential SecuritiesUnited States",66,2.0,3.3,
239,"XP/S5,                 Intel                Prudential SecuritiesUnited States",66,2.0,3.3,
240,"XP/S5,                 Intel                Real World Computing (RWCP)Japan",66,2.0,3.3,
241,"XP/S5,                 Intel                Real World Computing (RWCP)Japan",66,2.0,3.3,
242,"CM-5E/32,                 Thinking Machines Corporation                Hosei UniversityJapan",32,1.9,5.12,
243,"CM-5/32,                 Thinking Machines Corporation                Australian National UniversityAustralia",32,1.9,4.1,
244,"CM-5/32,                 Thinking Machines Corporation                Booz-Allen & HamiltonUnited States",32,1.9,4.1,
245,"CM-5/32,                 Thinking Machines Corporation                Central Research Institute of Electric Power Industry/CRIEPIJapan",32,1.9,4.1,
246,"CM-5/32,                 Thinking Machines Corporation                Columbia UniversityUnited States",32,1.9,4.1,
247,"CM-5/32,                 Thinking Machines Corporation                Compagnie Generale de Geophysique (CGG)France",32,1.9,4.1,
248,"CM-5/32,                 Thinking Machines Corporation                Duke UniversityUnited States",32,1.9,4.1,
249,"CM-5/32,                 Thinking Machines Corporation                EpsilonUnited States",32,1.9,4.1,
250,"CM-5/32,                 Thinking Machines Corporation                JPLUnited States",32,1.9,4.1,
251,"CM-5/32,                 Thinking Machines Corporation                LockheedUnited States",32,1.9,4.1,
252,"CM-5/32,                 Thinking Machines Corporation                MadentechUnited States",32,1.9,4.1,
253,"CM-5/32,                 Thinking Machines Corporation                Minnesota Supercomputer CenterUnited States",32,1.9,4.1,
254,"CM-5/32,                 Thinking Machines Corporation                NPACUnited States",32,1.9,4.1,
255,"CM-5/32,                 Thinking Machines Corporation                National Center for Atmospheric Research (NCAR)United States",32,1.9,4.1,
256,"CM-5/32,                 Thinking Machines Corporation                Saudi AramcoUnited States",32,1.9,4.1,
257,"CM-5/32,                 Thinking Machines Corporation                Site Experimental Hyperparallelisme (SEH/ETCA)France",32,1.9,4.1,
258,"CM-5/32,                 Thinking Machines Corporation                Stanford UniversityUnited States",32,1.9,4.1,
259,"CM-5/32,                 Thinking Machines Corporation                TECUnited States",32,1.9,4.1,
260,"CM-5/32,                 Thinking Machines Corporation                Tokyo University - Medical LabJapan",32,1.9,4.1,
261,"CM-5/32,                 Thinking Machines Corporation                Universidad Autonoma MetropolitanaSpain",32,1.9,4.1,
262,"CM-5/32,                 Thinking Machines Corporation                Universitaet WuppertalGermany",32,1.9,4.1,
263,"CM-5/32,                 Thinking Machines Corporation                University of AdelaideAustralia",32,1.9,4.1,
264,"CM-5/32,                 Thinking Machines Corporation                University of MarylandUnited States",32,1.9,4.1,
265,"CM-5/32,                 Thinking Machines Corporation                University of New South WalesAustralia",32,1.9,4.1,
266,"CM-5/32,                 Thinking Machines Corporation                University of TennesseeUnited States",32,1.9,4.1,
267,"nCube2S,                 nCube                Rutgers UniversityUnited States",1024,1.9,3.69,
268,"nCube2,                 nCube                Sandia National LaboratoriesUnited States",1024,1.9,2.4,
269,"KSR1-64,                 Kendall Square Research                CaltechUnited States",64,1.84,2.56,
270,"KSR1-64,                 Kendall Square Research                CanonJapan",64,1.84,2.56,
271,"KSR1-64,                 Kendall Square Research                CanonJapan",64,1.84,2.56,
272,"KSR1-64,                 Kendall Square Research                DOE/SC/Oak Ridge National LaboratoryUnited States",64,1.84,2.56,
273,"KSR1-64,                 Kendall Square Research                Georgia Institute of TechnologyUnited States",64,1.84,2.56,
274,"KSR1-64,                 Kendall Square Research                Government Communications HeadquartersUnited Kingdom",64,1.84,2.56,
275,"KSR1-64,                 Kendall Square Research                University of Colorado - CAPPUnited States",64,1.84,2.56,
276,"KSR1-64,                 Kendall Square Research                University of ManchesterUnited Kingdom",64,1.84,2.56,
277,"KSR1-64,                 Kendall Square Research                University of MichiganUnited States",64,1.84,2.56,
278,"KSR1-64,                 Kendall Square Research                University of WashingtonUnited States",64,1.84,2.56,
279,"S-820/80,                 Hitachi                Hitachi Ltd. Enterprise Server DivisionJapan",1,1.82,3.0,
280,"S-820/80,                 Hitachi                Hitachi Ltd. Enterprise Server DivisionJapan",1,1.82,3.0,
281,"S-820/80,                 Hitachi                Hitachi Ltd. Enterprise Server DivisionJapan",1,1.82,3.0,
282,"S-820/80,                 Hitachi                Hitachi Ltd. Enterprise Server DivisionJapan",1,1.82,3.0,
283,"S-820/80,                 Hitachi                Hitachi Ltd. Enterprise Server DivisionJapan",1,1.82,3.0,
284,"S-820/80,                 Hitachi                Hitachi Ltd. SSDJapan",1,1.82,3.0,
285,"S-820/80,                 Hitachi                Hokkaido UniversityJapan",1,1.82,3.0,
286,"S-820/80,                 Hitachi                National Lab. for High Energy PhysicsJapan",1,1.82,3.0,
287,"S-820/80,                 Hitachi                Nihon UniversityJapan",1,1.82,3.0,
288,"S-820/80,                 Hitachi                Senshu UniversityJapan",1,1.82,3.0,
289,"9076-003 SP1,                 IBM                University of California, Los AngelesUnited States",24,1.8,3.0,
290,"XP/S4,                 Intel                Caltech/JPLUnited States",56,1.75,2.8,
291,"XP/S4,                 Intel                George Mason UniversityUnited States",56,1.75,2.8,
292,"XP/S4,                 Intel                Hiroshima UniversityJapan",56,1.75,2.8,
293,"XP/S4,                 Intel                Indiana UniversityUnited States",56,1.75,2.8,
294,"XP/S4,                 Intel                Intel SSD Development CentersUnited Kingdom",56,1.75,2.8,
295,"XP/S4,                 Intel                JPLUnited States",56,1.75,2.8,
296,"XP/S4,                 Intel                Rice UniversityUnited States",56,1.75,2.8,
297,"XP/S4,                 Intel                Sandia ATRUnited States",56,1.75,2.8,
298,"XP/S4,                 Intel                Sandia National LaboratoriesUnited States",56,1.75,2.8,
299,"XP/S4,                 Intel                State University of New YorkUnited States",56,1.75,2.8,
300,"XP/S4,                 Intel                University of Puerto RicoUnited States",56,1.75,2.8,
