Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
301,"Y-MP M94/4512,                 Cray/HPE                Forschungszentrum Juelich (FZJ)Germany",4,1.11,1.33,
302,"Y-MP M98/41024,                 Cray/HPE                University of Alaska - Arctic Region Supercomputing CenterUnited States",4,1.11,1.33,
303,"VPX220/10,                 Fujitsu                Geco-PraklaUnited States",1,1.04,1.25,
304,"VPX220/10,                 Fujitsu                Keio Daigaku UniversityJapan",1,1.04,1.25,
305,"S200/10,                 Fujitsu/SNI                ScheringGermany",1,1.04,1.25,
306,"S200/20,                 Fujitsu/SNI                SiemensGermany",1,1.04,1.25,
307,"CM-5/16,                 Thinking Machines Corporation                GovernmentUnited States",16,0.98,2.05,
308,"CM-5/16,                 Thinking Machines Corporation                Kyushu UniversityJapan",16,0.98,2.05,
309,"CM-5/16,                 Thinking Machines Corporation                LORENTaiwan",16,0.98,2.05,
310,"CM-5/16,                 Thinking Machines Corporation                NCSAUnited States",16,0.98,2.05,
311,"CM-5/16,                 Thinking Machines Corporation                Pittsburgh Supercomputing CenterUnited States",16,0.98,2.05,
312,"CM-5/16,                 Thinking Machines Corporation                RUG (Rijksuniversiteit Groningen)Netherlands",16,0.98,2.05,
313,"CM-5/16,                 Thinking Machines Corporation                Thinking MachinesUnited States",16,0.98,2.05,
314,"CM-5/16,                 Thinking Machines Corporation                West Virginia UniversityUnited States",16,0.98,2.05,
315,"CS/i860/42,                 Meiko                Ensign GeophysicsUnited Kingdom",42,0.97,1.68,
316,"GCel 3/1024,                 Parsytec                Universitaet Koeln/DLRGermany",1024,0.97,1.54,
317,"GCel 3/1024,                 Parsytec                Universitaet Paderborn - PC2Germany",1024,0.97,1.54,
318,"nCube2,                 nCube                Mitsubishi Electric CorporationJapan",512,0.96,1.2,
319,"nCube2,                 nCube                RockwellUnited States",512,0.96,1.2,
320,"S-820/60,                 Hitachi                Defence Agency LandJapan",1,0.91,1.5,
321,"S-820/60,                 Hitachi                Hitachi Ltd. Adv. Res. LabJapan",1,0.91,1.5,
322,"S-820/60,                 Hitachi                Hitachi Ltd. Cent. Res. Lab.Japan",1,0.91,1.5,
323,"S-820/60,                 Hitachi                Hitachi Ltd. SICDJapan",1,0.91,1.5,
324,"S-820/60,                 Hitachi                Hitachi Ltd. SICDJapan",1,0.91,1.5,
325,"S-820/60,                 Hitachi                Hitachi Ltd. STRDJapan",1,0.91,1.5,
326,"S-820/60,                 Hitachi                Kajima CorporationJapan",1,0.91,1.5,
327,"S-820/60,                 Hitachi                Suzuki MotorJapan",1,0.91,1.5,
328,"S-820/60,                 Hitachi                Yamaichi Information SystemsJapan",1,0.91,1.5,
329,"SX-2,                 NEC                Aoyama Gakuin UniversityJapan",1,0.89,1.33,
330,"SX-2,                 NEC                Institute of Computational Fluid DynamicsJapan",1,0.89,1.33,
331,"SX-2A,                 NEC                Mazda Motor CorporationJapan",1,0.89,1.33,
332,"SX-2,                 NEC                NECJapan",1,0.89,1.33,
333,"SX-2,                 NEC                NEC Scientific Information Systems Dev. (NSIS)Japan",1,0.89,1.33,
334,"SX-2,                 NEC                Osaka University - Institute Laser EngJapan",1,0.89,1.33,
335,"SX-2,                 NEC                Sumitomo Metal IndustriesJapan",1,0.89,1.33,
336,"SX-2,                 NEC                Tohoku UniversityJapan",1,0.89,1.33,
337,"KSR1-32,                 KSR/Siemens-Nixdorf                Gesellschaft fuer wissenschaftliche DatenverarbeitungGermany",32,0.89,1.28,
338,"KSR1-32,                 Kendall Square Research                INRIA - Sophia AntipolisFrance",32,0.89,1.28,
339,"KSR1-32,                 KSR/Siemens-Nixdorf                Leibniz RechenzentrumGermany",32,0.89,1.28,
340,"KSR1-32,                 KSR/Siemens-Nixdorf                Siemens NixdorfGermany",32,0.89,1.28,
341,"KSR1-32,                 KSR/Siemens-Nixdorf                Universitaet MannheimGermany",32,0.89,1.28,
342,"KSR1-32,                 Kendall Square Research                University of HoustonUnited States",32,0.89,1.28,
343,"KSR1-32,                 Kendall Square Research                University of ManchesterUnited Kingdom",32,0.89,1.28,
344,"KSR1-32,                 Kendall Square Research                University of TorontoCanada",32,0.89,1.28,
345,"Y-MP4/332,                 Cray/HPE                Arco Oil and Gas CompanyUnited States",3,0.88,1.0,
346,"Y-MP4E/364,                 Cray/HPE                British AerospaceUnited Kingdom",3,0.88,1.0,
