Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
301,"Y-MP C916/16256,                 Cray/HPE                DOE/Bettis Atomic Power LaboratoryUnited States",16,13.7,15.24,
302,"Y-MP C916/16256,                 Cray/HPE                DOE/Knolls Atomic Power LaboratoryUnited States",16,13.7,15.24,
303,"Y-MP C916/16256,                 Cray/HPE                DOE/SC/LBNL/NERSCUnited States",16,13.7,15.24,
304,"Y-MP C916/161024,                 Cray/HPE                ERDC DSRCUnited States",16,13.7,15.24,
305,"Y-MP C916/16512,                 Cray/HPE                Ford Motor CompanyUnited States",16,13.7,15.24,
306,"Y-MP C916/16512,                 Cray/HPE                Ford Motor CompanyUnited States",16,13.7,15.24,
307,"Y-MP C916/161024,                 Cray/HPE                GovernmentUnited States",16,13.7,15.24,
308,"Y-MP C916/161024,                 Cray/HPE                GovernmentUnited States",16,13.7,15.24,
309,"Y-MP C916/161024,                 Cray/HPE                GovernmentUnited States",16,13.7,15.24,
310,"Y-MP C916/161024,                 Cray/HPE                GovernmentUnited States",16,13.7,15.24,
311,"Y-MP C916/16512,                 Cray/HPE                GovernmentUnited States",16,13.7,15.24,
312,"Y-MP C916/16256,                 Cray/HPE                Government Communications HeadquartersUnited Kingdom",16,13.7,15.24,
313,"Y-MP C916/16512,                 Cray/HPE                KISTI Supercomputing CenterSouth Korea",16,13.7,15.24,
314,"Y-MP C916/161024,                 Cray/HPE                MITI - AIST - RIPSJapan",16,13.7,15.24,
315,"Y-MP C916/161024,                 Cray/HPE                NASA/Ames Research Center/NASUnited States",16,13.7,15.24,
316,"Y-MP C916/16256,                 Cray/HPE                National Centers for Environment PredictionUnited States",16,13.7,15.24,
317,"Y-MP C916/16512,                 Cray/HPE                National Security AgencyUnited States",16,13.7,15.24,
318,"Y-MP C916/161024,                 Cray/HPE                Naval Oceanographic Office - NAVO DSRCUnited States",16,13.7,15.24,
319,"Y-MP C916/16512,                 Cray/HPE                Pittsburgh Supercomputing CenterUnited States",16,13.7,15.24,
320,"Y-MP C916/161024,                 Cray/HPE                Tohoku University, Institute of Fluid ScienceJapan",16,13.7,15.24,
321,"HPC 6000,                 Oracle                Southwestern BellUnited States",30,13.39,15.0,
322,"SP2/69,                 IBM                Potsdam Institute for Climate Impact ResearchGermany",69,13.35,18.35,
323,"SP2/68,                 IBM                DLRGermany",68,13.18,18.09,
324,"T916/10512,                 Cray/HPE                DaimlerChryslerUnited States",10,13.15,18.0,
325,"T916/101024,                 Cray/HPE                ToshibaJapan",10,13.15,18.0,
326,"T3E900,                 Cray/HPE                TU BerlinGermany",24,13.05,21.6,
327,"T3E900,                 Cray/HPE                Technische Universitaet BraunschweigGermany",24,13.05,21.6,
328,"SP2/67,                 IBM                BellSouthUnited States",67,13.01,17.82,
329,"SP2/66,                 IBM                HPC2N - Umea UniversitySweden",66,12.84,17.56,
330,"T3D MC128-8,                 Cray/HPE                Air Force/Eglin Air Force BaseUnited States",128,12.8,19.2,
331,"T3D MCA128-8,                 Cray/HPE                CERFACSFrance",128,12.8,19.2,
332,"T3D MC128-8,                 Cray/HPE                Commissariat a l'Energie Atomique (CEA)France",128,12.8,19.2,
333,"T3D MCA128-8,                 Cray/HPE                Compagnie Generale de Geophysique (CGG)France",128,12.8,19.2,
334,"T3D MCA128-8,                 Cray/HPE                Environmental Protection AgencyUnited States",128,12.8,19.2,
335,"T3D MCA128-8,                 Cray/HPE                IDRISFrance",128,12.8,19.2,
336,"T3D MCA128-8,                 Cray/HPE                National Center for Atmospheric Research (NCAR)United States",128,12.8,19.2,
337,"T3D MC128-8,                 Cray/HPE                Phillips Petroleum CompanyUnited States",128,12.8,19.2,
338,"T3D MCA128-2,                 Cray/HPE                Reactor & Nuclear Fuel DevelopmentJapan",128,12.8,19.2,
339,"T3D MCA128-8,                 Cray/HPE                Tohoku University, Institute of Fluid ScienceJapan",128,12.8,19.2,
340,"T3D MC128-8,                 Cray/HPE                University of Alaska - Arctic Region Supercomputing CenterUnited States",128,12.8,19.2,
341,"VPP300/6,                 Fujitsu                IDRISFrance",6,12.8,13.2,
342,"VPP300/6,                 Fujitsu                Meiji UniversityJapan",6,12.8,13.2,
343,"VPP300/6,                 Fujitsu/SNI                Technische Universitaet DarmstadtGermany",6,12.8,13.2,
344,"VPP300/6,                 Fujitsu/SNI                Universitaet ErlangenGermany",6,12.8,13.2,
345,"SP2/65,                 IBM                CERNSwitzerland",65,12.67,17.29,
346,"Ultra Enterprise 6000,                 Oracle                Chase ManhattanUnited Kingdom",28,12.53,14.0,
347,"Ultra Enterprise 6000,                 Oracle                Chase ManhattanUnited Kingdom",28,12.53,14.0,
348,"HPC 6000,                 Oracle                KLA Instruments SemiconductorUnited States",28,12.53,14.0,
349,"HPC 6000,                 Oracle                KT FreetelSouth Korea",28,12.53,14.0,
