Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
1,"ASCI Red,                 Intel                Sandia National LaboratoriesUnited States",9152,1338.0,1830.4,
2,"T3E1200,                 Cray/HPE                GovernmentUnited States",1084,891.0,1300.8,
3,"T3E900,                 Cray/HPE                GovernmentUnited States",1324,815.0,1191.6,
4,"ASCI Blue Mountain,                 HPE                Los Alamos National LaboratoryUnited States",6144,690.9,3072.0,
5,"T3E900,                 Cray/HPE                United Kingdom Meteorological OfficeUnited Kingdom",876,552.0,788.4,
6,"ASCI Blue-Pacific CTR, IBM SP 604e,                 IBM                IBMUnited States",1952,547.0,1296.1,
7,"T3E1200,                 Cray/HPE                CSAR at the University of ManchesterUnited Kingdom",612,509.0,734.4,
8,"ASCI Blue-Pacific CTR, IBM SP 604e,                 IBM                Lawrence Livermore National LaboratoryUnited States",1344,468.2,892.4,
9,"T3E900,                 Cray/HPE                Naval Oceanographic Office - NAVO DSRCUnited States",700,449.0,630.0,
10,"T3E,                 Cray/HPE                NASA/Goddard Space Flight CenterUnited States",1084,448.6,650.4,
11,"T3E1200,                 Cray/HPE                Cray Inc.United States",540,447.0,648.0,
12,"T3E900,                 Cray/HPE                DOE/SC/LBNL/NERSCUnited States",692,444.0,622.8,
13,"T3E1200,                 Cray/HPE                Deutscher WetterdienstGermany",484,401.0,580.8,
14,"CP-PACS/2048,                 Hitachi/Tsukuba                Center for Computational Sciences, University of TsukubaJapan",2048,368.2,614.4,
15,"T3E,                 Cray/HPE                Max-Planck-Gesellschaft MPI/IPPGermany",812,355.0,487.2,
16,"T3E900,                 Cray/HPE                HWW/Universitaet StuttgartGermany",540,341.0,486.0,
17,"T3E900,                 Cray/HPE                Pittsburgh Supercomputing CenterUnited States",540,341.0,486.0,
18,"SX-4/128M4,                 NEC                Atmospheric Environment Service (AES)Canada",128,244.0,256.0,
19,"SX-4/128H4,                 NEC                Tohoku UniversityJapan",128,244.0,256.0,
20,"T3E,                 Cray/HPE                Cray Inc.United States",540,234.0,324.0,
21,"T3E,                 Cray/HPE                Forschungszentrum Juelich (FZJ)Germany",540,234.0,324.0,
22,"SR2201/1024,                 Hitachi                University of TokyoJapan",1024,232.4,307.2,
23,"Numerical Wind Tunnel,                 Fujitsu                National Aerospace Laboratory of JapanJapan",167,229.0,281.26,498
24,"T3E1200,                 Cray/HPE                GovernmentUnited States",268,221.77,321.6,
25,"T3E1200,                 Cray/HPE                US Army HPC Research Center at NCSUnited States",268,221.77,321.6,
26,"T3E900,                 Cray/HPE                University of EdinburghUnited Kingdom",348,218.0,313.2,
27,"VPP700/116,                 Fujitsu                ECMWFUnited Kingdom",116,213.0,255.2,
28,"T3E900,                 Cray/HPE                ERDC DSRCUnited States",332,208.0,298.8,
29,"ASCI Blue-Pacific TR, IBM SP 604e,                 IBM                Lawrence Livermore National LaboratoryUnited States",672,198.6,446.2,
30,"SP P2SC 120/135 MHz,                 IBM                DOE/SC/Pacific Northwest National LaboratoryUnited States",512,180.91,248.32,
31,"T3E900,                 Cray/HPE                Forschungszentrum Juelich (FZJ)Germany",268,169.0,241.2,
32,"T3E900,                 Cray/HPE                Network Computing Services, Inc.United States",268,169.0,241.2,
33,"T3E750,                 Cray/HPE                Commissariat a l'Energie Atomique (CEA)France",300,157.0,225.0,
34,"SP PC604e 332 MHz,                 IBM                IBMUnited States",512,156.8,339.9,
35,"ORIGIN 2000,                 HPE                NCSAUnited States",512,152.0,199.68,
36,"XP/S140,                 Intel                Sandia National LaboratoriesUnited States",3680,143.4,184.0,
37,"T3E900,                 Cray/HPE                ZIB/Konrad Zuse-Zentrum fuer InformationstechnikGermany",228,143.0,205.2,
38,"T3E1200,                 Cray/HPE                CINECAItaly",172,142.36,206.4,
39,"XP/S-MP 150,                 Intel                DOE/SC/Oak Ridge National LaboratoryUnited States",3072,127.1,154.0,
40,"HPC 10000 333 MHz Cluster,                 Oracle                Sun Solution Center for HPCUnited States",256,123.9,170.4,
41,"T3E750,                 Cray/HPE                CSC (Center for Scientific Computing)Finland",236,123.0,177.0,
42,"SX-4/64M2,                 NEC                National Institute for Fusion Science (NIFS)Japan",64,122.0,128.0,
43,"SX-4/64M2,                 NEC                Osaka UniversityJapan",64,122.0,128.0,
44,"T3E,                 Cray/HPE                GovernmentUnited States",268,117.0,160.8,
45,"T3E,                 Cray/HPE                IDRISFrance",268,117.0,160.8,
46,"T3E,                 Cray/HPE                UCSD/San Diego Supercomputer CenterUnited States",268,117.0,160.8,
47,"T3E750,                 Cray/HPE                GovernmentUnited States",220,115.0,165.0,
48,"VPP700/56,                 Fujitsu                Kyushu UniversityJapan",56,110.0,123.2,
49,"VPP500/80,                 Fujitsu                National Lab. for High Energy PhysicsJapan",80,109.0,128.0,
50,"SP P2SC 160 MHz,                 IBM                Maui High-Performance Computing Center (MHPCC)United States",243,106.1,155.52,
51,"VPP700/52,                 Fujitsu/SNI                Leibniz RechenzentrumGermany",52,106.0,114.4,
52,"XP/S-MP 125,                 Intel                Japan Atomic Energy Research InstituteJapan",2502,103.5,125.1,
53,"T3E,                 Cray/HPE                Government AgencyUnited States",236,103.0,141.6,
54,"ORIGIN 2000 250 MHz,                 HPE                NASA/Ames Research Center/NASUnited States",256,101.4,128.0,
55,"ORIGIN 2000 250 MHz,                 HPE                NCSAUnited States",256,101.4,128.0,
56,"ORIGIN 2000 250 MHz,                 HPE                Silicon GraphicsUnited States",256,101.4,128.0,
57,"T3D MC1024-8,                 Cray/HPE                GovernmentUnited States",1024,100.5,153.6,
58,"T3E,                 Cray/HPE                National Supercomputer Centre (NSC)Sweden",228,99.7,136.8,
