Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
301,"ORIGIN 2000,                 HPE                Kyoto UniversityJapan",32,10.42,12.48,
302,"ORIGIN 2000,                 HPE                Kyoto UniversityJapan",32,10.42,12.48,
303,"ORIGIN 2000,                 HPE                Kyoto UniversityJapan",32,10.42,12.48,
304,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
305,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
306,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
307,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
308,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
309,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
310,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
311,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
312,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
313,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
314,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
315,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
316,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
317,"ORIGIN 2000,                 HPE                Los Alamos National LaboratoryUnited States",32,10.42,12.48,
318,"ORIGIN 2000,                 HPE                Max-Planck-Gesellschaft MPI/Albert-Einstein-InstitutGermany",32,10.42,12.48,
319,"ORIGIN 2000,                 HPE                NASA/Ames Research Center/NASUnited States",32,10.42,12.48,
320,"ORIGIN 2000,                 HPE                NASA/Ames Research Center/NASUnited States",32,10.42,12.48,
321,"ORIGIN 2000,                 HPE                NASA/Langley Research CenterUnited States",32,10.42,12.48,
322,"ORIGIN 2000,                 HPE                NCSAUnited States",32,10.42,12.48,
323,"ORIGIN 2000,                 HPE                NCSAUnited States",32,10.42,12.48,
324,"ORIGIN 2000,                 HPE                NCSAUnited States",32,10.42,12.48,
