Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
301,"Eole - Intel Cluster, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path,                 Atos                EDFFrance",29568,942.83,1135.41,421
302,"HPC_Cluster - Sugon TC6000, Xeon E5-2680v3 12C 2.5GHz, 10G Ethernet,                 Sugon                GovernmentChina",48000,942.4,1920.0,800
303,"Internet Company T FF1 - Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,                 Lenovo                Service Provider TChina",21120,940.43,1689.6,
304,"Huawei X6800 V3, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR,                 Huawei Technologies Co., Ltd.                China Manufacture Company BChina",32768,937.94,1101.01,416
305,"Huawei E9000 Blade Server, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR,                 Huawei Technologies Co., Ltd.                Manufacturing Company (A)Sweden",27664,935.6,1150.82,445
306,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet,                 Inspur                Internet Service AChina",25920,934.7,1908.0,
307,"Inspur SA5212M4, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet,                 Inspur                Internet Service (B)China",52800,934.2,1943.04,
308,"Inspur SA5212M4, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet,                 Inspur                Internet Service (B)China",52800,934.2,1943.04,
309,"Inspur SA5212M4, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet,                 Inspur                Internet Service (B)China",52800,934.2,1943.04,
310,"CloudSystem - Sugon I620, Xeon E5-2630v3 8C 2.4GHz, 10G Ethernet,                 Sugon                IT Service ProviderChina",49600,932.3,1904.64,930
311,"IT-su - Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet,                 Sugon                Internet CompanyChina",54000,931.2,1900.8,675
312,"IT-h3 - Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet,                 Sugon                Internet CompanyChina",56000,920.8,1881.6,770
313,"Cluster Platform DL380, Xeon E5-2699v4  22C 2.2GHz, 10G Ethernet,                 HPE                Information Technology Company (P)China",46640,918.84,1641.73,
314,"Sugon I620, Xeon E5-2630v3 8C 2.4GHz, 10G Ethernet,                 Sugon                IT Service Provider (L)China",48000,918.4,1843.2,900
315,"Lenovo x3950, Intel Xeon E7-8860v4 18C 2.2GHz, 10G Ethernet,                 Lenovo                Service Provider TChina",43200,915.42,1520.64,
