Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
401,"CRAY-3/2-128,                 Cray Computer                National Center for Atmospheric Research (NCAR)United States",2,1.62,1.9,
402,"MP-2216,                 MasPar                EMBLGermany",2048,1.6,2.4,
403,"MP-2216,                 MasPar                Inst. of Agriculture, Forest & FisheriesJapan",2048,1.6,2.4,
404,"MP-2216,                 MasPar                Lockheed Missiles and Space CompanyUnited States",2048,1.6,2.4,
405,"MP-2216,                 MasPar                National Cancer InstituteUnited States",2048,1.6,2.4,
406,"MP-2216,                 MasPar                National Cancer Research InstituteJapan",2048,1.6,2.4,
407,"MP-2216,                 MasPar                University College DublinIreland",2048,1.6,2.4,
408,"DECmpp SX 200,                 HPE                University of BergenNorway",2048,1.6,2.4,
409,"MP-2216,                 MasPar                University of MelbourneAustralia",2048,1.6,2.4,
410,"SP2/8,                 IBM                GMDGermany",8,1.6,2.13,
411,"SP2/8,                 IBM                Middle East Technical UniversityTurkey",8,1.6,2.13,
412,"SP2/8,                 IBM                Rice UniversityUnited States",8,1.6,2.13,
413,"SP2/8,                 IBM                Western GeophysicalUnited Kingdom",8,1.6,2.13,
414,"SP2/8,                 IBM                debis SystemhausGermany",8,1.6,2.13,
415,"SX-3/11R,                 NEC                Fukuoka UniversityJapan",1,1.5,1.6,
416,"GC PowerPlus/128,                 Parsytec                Japan Institute of Advanced TechnologyJapan",128,1.49,10.24,
417,"GC PowerPlus/128,                 Parsytec                National Supercomputer Centre (NSC)Sweden",128,1.49,10.24,
418,"GC PowerPlus/128,                 Parsytec                Technische Universitaet ChemnitzGermany",128,1.49,10.24,
419,"GC PowerPlus/128,                 Parsytec                Universitaet Hamburg-HarburgGermany",128,1.49,10.24,
420,"GC PowerPlus/64,                 Parsytec                CRS4Italy",64,1.49,5.12,
421,"GC PowerPlus/64,                 Parsytec                University of BergenNorway",64,1.49,5.12,
422,"POWER Onyx,                 HPE                ADN Oil CompanyUnited Arab Emirates",6,1.47,1.8,
423,"POWER CHALLENGE,                 HPE                BASFGermany",6,1.47,1.8,
424,"POWER CHALLENGE,                 HPE                European Space Agency (ESTEC)Netherlands",6,1.47,1.8,
425,"POWER CHALLENGE,                 HPE                Forskningscenter RisoDenmark",6,1.47,1.8,
426,"POWER CHALLENGE,                 HPE                Instituto de Estudos do MarBrazil",6,1.47,1.8,
427,"POWER CHALLENGE,                 HPE                Lockheed Aeronautical Systems CompanyUnited States",6,1.47,1.8,
428,"POWER CHALLENGE,                 HPE                PfizerUnited Kingdom",6,1.47,1.8,
429,"POWER CHALLENGE,                 HPE                Silicon GraphicsSwitzerland",6,1.47,1.8,
430,"POWER CHALLENGE,                 HPE                Silicon GraphicsUnited Kingdom",6,1.47,1.8,
431,"POWER CHALLENGE,                 HPE                Silicon GraphicsUnited Kingdom",6,1.47,1.8,
432,"POWER CHALLENGE,                 HPE                Silicon GraphicsFrance",6,1.47,1.8,
433,"POWER CHALLENGE,                 HPE                Stanford UniversityUnited States",6,1.47,1.8,
434,"POWER CHALLENGE,                 HPE                The Aeronautical Res. Inst. of SwedenSweden",6,1.47,1.8,
