Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
401,"Cluster Platform 3000 BL460c, Xeon 54xx 2.33 GHz, GigEthernet,                 HPE                Telecommunication CompanyChina",1792,9.62,16.7,
402,"Albert - Dalco Cluster, Intel Xeon 3.0 Ghz, Quadrics,                 DALCO AG Switzerland                BMW Sauber F1Switzerland",1024,9.6,12.29,
403,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband,                 IBM                Universitaet FreiburgGermany",1120,9.59,12.68,44
404,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband,                 IBM                Universitaet HeidelbergGermany",1120,9.59,12.68,44
405,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband,                 IBM                Universitaet KarlsruheGermany",1120,9.59,12.68,44
406,"bwGRiD-MA - BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband,                 IBM                Universitaet MannheimGermany",1120,9.59,12.68,44
407,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband,                 IBM                Universitaet TuebingenGermany",1120,9.59,12.68,44
408,"NWICE - Spray Cooled xSeries x3550 Cluster Xeon quad core 2.33 GHz, Infiniband,                 IBM                DOE/SC/Pacific Northwest National LaboratoryUnited States",1536,9.59,14.32,84
409,"xSeries x3550 Cluster Xeon, 3 GHz, GigEthernet,                 IBM                Texas InstrumentsFrance",1612,9.58,19.34,149
410,"SGI Altix ICE 8200, 3.0 GHz,                 HPE                Manufacturing Company (I)United States",1024,9.58,12.29,
411,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, GigEthernet,                 HPE                Logistic Services (D)Germany",1336,9.54,16.03,
412,"eServer Blue Gene Solution,                 IBM                Harvard UniversityUnited States",4096,9.43,11.47,44
413,"KEK/BG UME - eServer Blue Gene Solution,                 IBM                High Energy Accelerator Research Organization /KEKJapan",4096,9.43,11.47,44
414,"eServer Blue Gene Solution,                 IBM                IBM - Almaden Research CenterUnited States",4096,9.43,11.47,44
415,"eServer Blue Gene Solution,                 IBM                IBM ResearchSwitzerland",4096,9.43,11.47,44
416,"eServer Blue Gene Solution,                 IBM/ LLNL                IBM Thomas J. Watson Research CenterUnited States",4096,9.43,11.47,44
