Rank,System,Cores,Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
301,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet,                 Lenovo                Service Provider TChina",58560,2.38,4.68,
302,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,                 Lenovo                Service Provider TChina",112000,2.37,4.12,
303,"B2F - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,                 Lenovo                Software Company MNEDNetherlands",53760,2.36,4.64,
304,"B2E - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,                 Lenovo                Software Company MNEDNetherlands",53760,2.36,4.64,
305,"B2B - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,                 Lenovo                Software Company MNEDNetherlands",53760,2.36,4.64,
306,"B2D - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,                 Lenovo                Software Company MUSUnited States",53760,2.36,4.64,
307,"B2C - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,                 Lenovo                Software Company MUSUnited States",53760,2.36,4.64,
308,"B2A - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,                 Lenovo                Software Company MUSUnited States",53760,2.36,4.64,
309,"NOG1 - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom,                 Lenovo                Software Company MGERGermany",53760,2.36,4.64,
310,"NON1 - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom,                 Lenovo                Software Company MNEDNetherlands",53760,2.36,4.64,
311,"NOUK1 - ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom,                 Lenovo                Software Company MUKUnited Kingdom",53760,2.36,4.64,
312,"NVIDIA DGX SuperPOD - NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband,                 Nvidia                NVIDIA CorporationUnited States",19840,2.36,2.81,90
313,"ZZ1 - ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet,                 Lenovo                Service Provider TChina",153600,2.35,10.32,
314,"A12A - ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MIRIreland",69120,2.35,4.64,
315,"A11A - ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MIRIreland",69120,2.35,4.64,
316,"A17A - ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MNYNorway",69120,2.35,4.64,
317,"A17A - ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MSWSwitzerland",69120,2.35,4.64,
318,"UK2 - ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MUKUnited Kingdom",69120,2.35,4.64,
319,"UK1 - ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MUKUnited Kingdom",69120,2.35,4.64,
320,"B1B - ThinkSystem C2397, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MUSUnited States",69120,2.35,4.64,
321,"A10A - ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MUSUnited States",69120,2.35,4.64,
322,"A4A - ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,                 Lenovo                Software Company MUSUnited States",69120,2.35,4.64,
323,"Ares - CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR,                 Huawei Technologies Co., Ltd.                CyfronetPoland",37824,2.34,3.51,487
324,"Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet,                 Inspur                Internet CompanyChina",48160,2.34,4.37,
