Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
1,"ASCI Red,                 Intel                Sandia National LaboratoriesUnited States",9632,2379.0,3207.0,
2,"ASCI Blue-Pacific SST, IBM SP 604e,                 IBM                Lawrence Livermore National LaboratoryUnited States",5808,2144.0,3856.5,
3,"ASCI Blue Mountain,                 HPE                Los Alamos National LaboratoryUnited States",6144,1608.0,3072.0,
4,"SP Power3 375 MHz,                 IBM                IBM/Naval Oceanographic Office (NAVOCEANO)United States",1336,1417.0,2004.0,
5,"SR8000-F1/112,                 Hitachi                Leibniz RechenzentrumGermany",112,1035.0,1344.0,
6,"SR8000-F1/100,                 Hitachi                High Energy Accelerator Research Organization /KEKJapan",100,917.0,1200.0,
7,"T3E1200,                 Cray/HPE                GovernmentUnited States",1084,891.0,1300.8,
8,"T3E1200,                 Cray/HPE                US Army HPC Research Center at NCSUnited States",1084,891.0,1300.8,
9,"SR8000/128,                 Hitachi                University of TokyoJapan",128,873.0,1024.0,
10,"T3E900,                 Cray/HPE                GovernmentUnited States",1324,815.0,1191.6,
11,"SP Power3 375 MHz,                 IBM                DOE/SC/Oak Ridge National LaboratoryUnited States",704,723.0,1056.0,
12,"ORIGIN 2000 250 MHz,                 HPE                Los Alamos National Laboratory/ACLUnited States",2048,690.9,1024.0,
13,"T3E900,                 Cray/HPE                Naval Oceanographic Office - NAVO DSRCUnited States",1084,675.0,975.6,
14,"T3E1200,                 Cray/HPE                CSAR at the University of ManchesterUnited Kingdom",812,671.0,974.4,
15,"T3E1200,                 Cray/HPE                Deutscher WetterdienstGermany",812,671.0,974.4,
16,"SP Power3 222 MHz,                 IBM                UCSD/San Diego Supercomputer CenterUnited States",1152,613.0,1023.0,
17,"SR8000-F1/60,                 Hitachi                University of Tokyo/Institute for Solid State PhysicsJapan",60,577.0,720.0,
18,"T3E900,                 Cray/HPE                United Kingdom Meteorological OfficeUnited Kingdom",876,552.0,788.4,
19,"SP PC604e 332 MHz,                 IBM                Charles SchwabUnited States",2000,547.0,1328.0,
20,"T3E1200,                 Cray/HPE                United Kingdom Meteorological OfficeUnited Kingdom",636,526.0,763.2,
21,"SP Power3 375 MHz,                 IBM                ERDC DSRCUnited States",512,523.0,768.0,
22,"SP Power3 375 MHz,                 IBM                IBMUnited States",512,523.0,768.0,
23,"AlphaServer SC ES40/EV67,                 HPE                Hewlett-PackardUnited States",512,507.6,682.66,
24,"AlphaServer SC ES40/EV67,                 HPE                Lawrence Livermore National LaboratoryUnited States",512,507.6,682.66,
25,"VPP5000/56,                 Fujitsu                Nagoya UniversityJapan",56,492.0,537.6,
26,"VPP800/63,                 Fujitsu                Kyoto UniversityJapan",63,482.0,504.0,
27,"ASCI Blue-Pacific CTR, IBM SP 604e,                 IBM                Lawrence Livermore National LaboratoryUnited States",1344,468.2,892.4,
28,"SR8000/64,                 Hitachi                Tsukuba Advanced Computing Center - TACC/AISTJapan",64,449.0,512.0,
