Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
401,"Exemplar X-Class,                 HPE                Caltech/JPLUnited States",64,27.56,46.08,
402,"Exemplar X-Class,                 HPE                Caltech/JPLUnited States",64,27.56,46.08,
403,"Exemplar X-Class,                 HPE                HTCGermany",64,27.56,46.08,
404,"Exemplar X-Class,                 HPE                NCSAUnited States",64,27.56,46.08,
405,"Exemplar X-Class,                 HPE                Naval Research Laboratory (NRL)United States",64,27.56,46.08,
406,"Exemplar X-Class,                 HPE                Samsung SDSSouth Korea",64,27.56,46.08,
407,"Exemplar X-Class,                 HPE                University of KentuckyUnited States",64,27.56,46.08,
408,"HPC 10000 400 MHz,                 Oracle                BankUnited States",40,27.56,32.0,
409,"HPC 10000 400 MHz,                 Oracle                Lexis NexisUnited States",40,27.56,32.0,
410,"HPC 10000 400 MHz,                 Oracle                Lexis NexisUnited States",40,27.56,32.0,
411,"T3E900,                 Cray/HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",42,27.3,37.8,
412,"T3E900,                 Cray/HPE                Universitaet RostockGermany",42,27.3,37.8,
413,"ORIGIN 2000 250 MHz - Eth-Cluster,                 HPE                GovernmentUnited States",112,27.19,56.0,
414,"SX-4/14A,                 NEC                ONERAFrance",14,27.1,28.0,
415,"SP PC604e 332 MHz,                 IBM                GovernmentFrance",84,27.03,55.77,
416,"SP PC604e 332 MHz,                 IBM                ResponsorSweden",84,27.03,55.77,
417,"SP PC604e 332 MHz,                 IBM                SprintUnited States",84,27.03,55.77,
418,"SP PC604e 332 MHz,                 IBM                UBS AGSwitzerland",84,27.03,55.77,
419,"ORIGIN 2000,                 HPE                Oxford Supercomputing CentreUnited Kingdom",84,26.84,32.76,
420,"HPC 10000,                 Oracle                AT&TUnited States",64,26.45,32.0,
421,"HPC 10000,                 Oracle                AT&TUnited States",64,26.45,32.0,
422,"HPC 10000,                 Oracle                AT&TUnited States",64,26.45,32.0,
423,"HPC 10000,                 Oracle                Chalmers University of TechnologySweden",64,26.45,32.0,
424,"HPC 10000,                 Oracle                GTE CommunicationsUnited States",64,26.45,32.0,
425,"HPC 10000,                 Oracle                Kawasaki Heavy IndustryJapan",64,26.45,32.0,
426,"HPC 10000,                 Oracle                MotorolaUnited States",64,26.45,32.0,
427,"HPC 10000,                 Oracle                Texas InstrumentsUnited States",64,26.45,32.0,
