Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
301,"SGI Altix 1.3 GHz,                 HPE                Naval Research Laboratory (NRL)United States",256,1142.0,1331.2,
302,"SGI Altix 1.3 GHz,                 HPE                The Institute of Statistical MathematicsJapan",256,1142.0,1331.2,
303,"SGI Altix 1.3 GHz,                 HPE                Total Exploration ProductionFrance",256,1142.0,1331.2,
304,"SGI Altix 1.3 GHz,                 HPE                Total Exploration ProductionFrance",256,1142.0,1331.2,
305,"SGI Altix 1.3 GHz,                 HPE                University of RochesterUnited States",256,1142.0,1331.2,
306,"SX-6/128M16 (typeE, 1.778ns),                 NEC                Institute of Space & Astronautical Science (ISAS)Japan",128,1141.0,1152.0,
307,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Automotive Manufacturer (D)United States",340,1134.98,1904.0,
308,"Cluster Platform 3000 DL360G3, Xeon 3.2 GHz, Myrinet,                 HPE                GovernmentUnited States",300,1132.0,1920.0,
309,"Cluster Platform 3000 DL360G3, Xeon 3.2 GHz, Myrinet,                 HPE                GovernmentUnited States",300,1132.0,1920.0,
310,"Cluster Platform 3000 DL140, Pentium4 Xeon 3.2 GHz, Myrinet,                 HPE                Moffitt Cancer CenterUnited States",300,1132.0,1920.0,
311,"Pentium Xeon Cluster 2.2 GHz - SCI 3D,                 Self-made                National Supercomputer Centre (NSC)Sweden",400,1132.0,1760.0,
312,"NovaScale5160, Itanium2 1.3 GHz, Quadrics,                 Atos                BullFrance",256,1131.0,1331.2,
313,"SX-6/144M18,                 NEC                Bureau of Meteorology / CSIRO HPCCCAustralia",144,1130.0,1152.0,
314,"xSeries Cluster Xeon 2.4 GHz - Gig-E,                 IBM                Petroleum Company (A)United States",520,1129.38,2496.0,
315,"eServer Opteron 2.2 GHz. Myrinet,                 IBM                Sony Intelligence Dynamics Laboratories IncJapan",352,1128.0,1548.8,
316,"xSeries Xeon 3.06 GHz - Gig-E,                 IBM                UBS WarburgUnited States",300,1126.5,1836.0,
