Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
301,"Cluster Platform 6000 rx1620, Itanium2 1.6 GHz, Quadrics,                 HPE                GovernmentUnited States",504,2.87,3.23,
302,"SGI Altix 3700 Bx2, 1.5 GHz, Numalink,                 HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",512,2.87,3.07,
303,"SGI Altix 3700 Bx2, 1.5 GHz, Numalink,                 HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",512,2.87,3.07,
304,"SGI Altix 3700 Bx2, 1.5 GHz, Numalink,                 HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",512,2.87,3.07,
305,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
306,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
307,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
308,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
309,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
310,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
311,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
312,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
313,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Bank (J)United Kingdom",800,2.86,5.12,
314,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Financial Institution (D)United States",800,2.86,5.12,
315,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Financial Institution (D)United States",800,2.86,5.12,
316,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Financial Institution (D)United States",800,2.86,5.12,
317,"Blade Cluster BL-20P, Pentium4 Xeon 3.2 GHz,                 HPE                Financial Institution (D)United States",800,2.86,5.12,
318,"Cray XT3, 2.4 GHz,                 Cray/HPE                GovernmentUnited States",740,2.86,3.55,
319,"Blade Cluster BL-20P, Pentium4 Xeon 2.8 GHz, GigEthernet,                 HPE                Digital Media Company (D)United States",1000,2.85,5.6,
320,"Blade Cluster BL-20P, Pentium4 Xeon 2.8 GHz, GigEthernet,                 HPE                Digital Media Company (D)United States",1000,2.85,5.6,
