Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
101,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband,                 IBM                AutomotiveUnited States",8568,88.62,100.42,240
102,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband,                 IBM                AutomotiveUnited States",8568,88.62,100.42,240
103,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband,                 HPE                Manufacturing CompanyFrance",8576,88.55,100.51,
104,"Cluster Platform 3000 DL165, Opteron 2.1 GHz 12C, GigE,                 HPE                Financial Services Company (G)United States",20784,87.54,174.59,
105,"Layon - Bull bullx super-node S6010/S6030,                 Atos                BullFrance",11520,87.47,104.6,
106,"Curie fat nodes - Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband,                 Atos                CEA/TGCC-GENCIFrance",11520,87.47,104.42,109
107,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR,                 HPE                iVECAustralia",9600,87.2,107.52,
108,"CHEOPS - Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband,                 Atos                University of Cologne, Regional Computing CentreGermany",9376,85.9,100.17,
109,"Blue Gene/Q Solution Prototype 2,                 IBM                IBM Thomas J. Watson Research CenterUnited States",8192,85.88,104.86,
110,"Graph - Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR,                 Cray/HPE                Lawrence Livermore National LaboratoryUnited States",13440,83.08,107.5,700
111,"Typhoon - Appro Xtreme Opteron 2 GHz, Infiniband QDR,                 Cray/HPE                Los Alamos National LaboratoryUnited States",13312,83.05,106.5,
112,"New York Blue - eServer Blue Gene Solution,                 IBM                Stony Brook/BNL, New York Center for Computational SciencesUnited States",36864,82.16,103.22,403
113,"Mana - Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband,                 DELL EMC                Maui High-Performance Computing Center (MHPCC)United States",9210,80.58,103.22,
114,"CASE Cluster - Oracle Blade Server X6275,  X5670 2.93 GHz, Infiniband QDR,                 Oracle                DLR - CASEGermany",7680,79.34,91.13,
115,"Power 575, p6 4.7 GHz, Infiniband,                 IBM                Navy DSRCUnited States",5440,78.68,102.27,869
116,"Power 575, p6 4.7 GHz, Infiniband,                 IBM                CINECAItaly",5376,78.68,101.07,859
117,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE,                 HPE                IT Service Provider (D)United States",12822,77.75,150.27,
118,"T2K Open Supercomputer - Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband,                 Cray/HPE                Center for Computational Sciences, University of TsukubaJapan",10368,77.28,95.39,671
119,"Colosse - Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR,                 Oracle                CLUMEQ - Universit LavalCanada",7616,77.17,85.3,332
120,"Cray XT5 QC 2.3 GHz,                 Cray/HPE                US Army Research Laboratory (ARL)United States",10400,76.8,95.68,481
121,"Cray XT5/XT4 QC 2.3 GHz,                 Cray/HPE                CSC (Center for Scientific Computing)Finland",10864,76.51,102.0,520
122,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet,                 IBM                Service ProviderUnited States",13648,76.03,138.12,432
123,"ASC Purple - eServer pSeries p5 575 1.9 GHz,                 IBM                DOE/NNSA/LLNLUnited States",12208,75.76,92.78,1992
124,"Rossmann - HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G,                 HPE                Purdue UniversityUnited States",11064,75.43,95.96,
125,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband,                 HPE                University of Minnesota/Supercomputing InstituteUnited States",8568,75.43,95.96,
126,"GOSAT Research Computation Facility - Asterism ID318, Intel Xeon E5530, NVIDIA C2050, Infiniband,                 NSSOL / SGI Japan                National Institute for Environmental StudiesJapan",5760,75.35,177.12,116
127,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE,                 HPE                Telecommunication CompanyJapan",13620,74.74,144.92,
128,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE,                 HPE                Arrow Enterprise Computing SolutionsUnited States",13542,74.34,144.09,
129,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband,                 IBM                Energy Company (A)Italy",10224,73.64,109.03,335
130,"Discover - iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband,                 IBM                NASA/Goddard Space Flight CenterUnited States",8192,73.64,91.75,287
131,"Hitachi SR16000 Model XM1/108, Power7 3.3Ghz, Infiniband,                 Hitachi                Yukawa Institute for Theoretical Physics, Kyoto University (YITP)Japan",3456,73.35,91.24,130
132,"Power 575, p6 4.7 GHz, Infiniband,                 IBM                National Centers for Environment PredictionUnited States",4992,73.06,93.85,797
133,"Power 575, p6 4.7 GHz, Infiniband,                 IBM                National Centers for Environment PredictionUnited States",4992,73.06,93.85,797
134,"eServer Blue Gene Solution,                 IBM                Rensselaer Polytechnic Institute, Computational Center for Nanotechnology InnovationsUnited States",32768,73.03,91.75,358
135,"Coastal - Dell DCS Xanadu 2.5, Xeon E55xx 2.4Ghz, Infiniband DDR,                 DELL EMC                Lawrence Livermore National LaboratoryUnited States",8464,72.41,81.25,
136,"Magerit - BladeCenter PS702 Express, Power7 3.3GHz, Infiniband,                 IBM                CeSViMa - Centro de Supercomputacin y Visualizacin de MadridSpain",3920,72.03,103.49,154
137,"iDataPlex DX360M3, Xeon 2.66, Infiniband,                 IBM                RQCHP/Calcul Quebec/Compute Canada Universit de MontralCanada",7560,71.56,80.44,198
138,"HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE,                 HPE                Web Content ProviderUnited States",14208,70.19,136.4,
139,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz,                 HPE                US Army Research Laboratory (ARL)United States",6656,70.0,74.55,350
140,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE,                 IBM                Banking (M)United States",12420,69.99,145.56,395
141,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE,                 IBM                Banking (M)United States",12420,69.99,145.56,395
142,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE,                 IBM                Banking (M)United States",12420,69.99,145.56,395
143,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet,                 IBM                Network CompanyChina",12324,69.72,124.72,
144,"Cluster Platform 3000 BL280c G6, Xeon X5650 2.67Ghz, Infiniband QDR,                 HPE                Manufacturing CompanyUnited States",8328,68.83,88.61,
145,"Abe - PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4,                 DELL EMC                NCSAUnited States",9600,68.48,89.59,
