Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
201,"SP2/48,                 IBM                Okazaki Bunshi KenJapan",48,9.53,12.77,
202,"SP2/48,                 IBM                PCS Health SystemsUnited States",48,9.53,12.77,
203,"SP2/48,                 IBM                Rika daiJapan",48,9.53,12.77,
204,"SP2/48,                 IBM                The Institute of Statistical MathematicsJapan",48,9.53,12.77,
205,"SP2/48,                 IBM                University of MichiganUnited States",48,9.53,12.77,
206,"T3E,                 Cray/HPE                TU BerlinGermany",24,9.42,14.4,
207,"POWER CHALLENGEarray,                 HPE                GovernmentUnited States",40,9.4,14.4,
208,"POWER CHALLENGEarray,                 HPE                GovernmentUnited States",40,9.4,14.4,
209,"SP2/46,                 IBM                Tohoku University, Kohgaku-buJapan",46,9.16,12.24,
210,"SP2/44,                 IBM                Centre de Supercomputacio de CatalunyaSpain",44,8.79,11.7,
211,"ORIGIN 2000,                 HPE                NCSAUnited States",128,8.76,49.92,
212,"ORIGIN 2000,                 HPE                Boston UniversityUnited States",32,8.76,12.48,
213,"ORIGIN 2000,                 HPE                Naval Research Laboratory (NRL)United States",32,8.76,12.48,
214,"VX/4,                 Fujitsu                Fujitsu (FECIT)United Kingdom",4,8.6,8.8,
215,"VPP300/4,                 Fujitsu/SNI                Universitaet Hannover / RRZNGermany",4,8.6,8.8,
216,"VPP300/4,                 Fujitsu                Western GeophysicalUnited States",4,8.6,8.8,
217,"SP2/42,                 IBM                Chuodai RikoJapan",42,8.42,11.17,
218,"SP2/42,                 IBM                Federal ExpressUnited States",42,8.42,11.17,
219,"SP2/42,                 IBM                Fidelity InvestmentsUnited States",42,8.42,11.17,
220,"T916/6512,                 Cray/HPE                Naval Oceanographic Office - NAVO DSRCUnited States",6,8.3,10.8,
221,"POWER CHALLENGEarray 10000,                 HPE                NCSAUnited States",72,8.23,28.08,
222,"POWER CHALLENGE 10000,                 HPE                Biomolecular Eng. Research InstituteJapan",32,8.23,12.48,
223,"SP2/41,                 IBM                ISSC, UnisourceUnited States",41,8.23,10.91,
224,"SP2/41,                 IBM                Petro CanadaCanada",41,8.23,10.91,
225,"SP2 77 MHz wide,                 IBM                Western GeophysicalUnited Kingdom",36,8.2,11.09,
226,"SP2/40,                 IBM                National Cancer Research InstituteJapan",40,8.05,10.64,
227,"SP2/40,                 IBM                Seoul National UniversitySouth Korea",40,8.05,10.64,
228,"SP2/40,                 IBM                UNI-CDenmark",40,8.05,10.64,
229,"SP2/40,                 IBM                Western GeophysicalUnited Kingdom",40,8.05,10.64,
230,"GC PowerPlus/192,                 Parsytec                Universitaet Heidelberg - IWRGermany",192,8.0,15.36,
231,"GC PowerPlus/192,                 Parsytec                Universitaet Paderborn - PC2Germany",192,8.0,15.36,
232,"SP2 77 MHz wide,                 IBM                Saudi AramcoSaudi Arabia",35,7.97,10.78,
233,"SPP1600/XA-48,                 HPE                Universitaet ErlangenGermany",48,7.92,11.52,
234,"VPP500/6,                 Fujitsu                Fujitsu System Evaluation CenterJapan",6,7.9,9.6,
235,"POWER CHALLENGEarray,                 HPE                GovernmentUnited States",40,7.83,12.0,
236,"POWER CHALLENGEarray,                 HPE                GovernmentUnited States",40,7.83,12.0,
237,"POWER CHALLENGEarray,                 HPE                GovernmentUnited States",40,7.83,12.0,
238,"Exemplar S-Class,                 HPE                Defense ContractorUnited States",16,7.78,11.52,
239,"Exemplar S-Class,                 HPE                Defense ContractorUnited States",16,7.78,11.52,
240,"Exemplar S-Class,                 HPE                Defense ContractorUnited States",16,7.78,11.52,
241,"Exemplar S-Class,                 HPE                Defense ContractorUnited States",16,7.78,11.52,
242,"Exemplar S-Class,                 HPE                Defense ContractorUnited States",16,7.78,11.52,
243,"Exemplar S-Class,                 HPE                Hewlett-Packard CXTCUnited States",16,7.78,11.52,
244,"Exemplar S-Class,                 HPE                NCSAUnited States",16,7.78,11.52,
245,"Exemplar S-Class,                 HPE                Universitaet LeipzigGermany",16,7.78,11.52,
246,"Exemplar S-Class,                 HPE                Universitaet LeipzigGermany",16,7.78,11.52,
247,"CM-5E/128,                 Thinking Machines Corporation                The Angstrom Technology PartnershipJapan",128,7.7,20.48,
248,"CM-5/128,                 Thinking Machines Corporation                American ExpressUnited States",128,7.7,16.38,
249,"CM-5/128,                 Thinking Machines Corporation                GovernmentUnited States",128,7.7,16.38,
250,"CM-5/128,                 Thinking Machines Corporation                Institut de Physique du Globe de Paris (IPG)France",128,7.7,16.38,
251,"CM-5/128,                 Thinking Machines Corporation                JPLUnited States",128,7.7,16.38,
252,"CM-5/128,                 Thinking Machines Corporation                MITUnited States",128,7.7,16.38,
253,"SP2/38,                 IBM                GMDGermany",38,7.68,10.11,
254,"SP2/38,                 IBM                Kirin BeerJapan",38,7.68,10.11,
255,"SP2/38,                 IBM                University of California, Los AngelesUnited States",38,7.68,10.11,
256,"SX-4/4,                 NEC                Houston Area Research CenterUnited States",4,7.67,8.0,
257,"XP/S20,                 Intel                Air Force Research LaboratoryUnited States",256,7.6,12.8,
258,"XP/S20,                 Intel                Okayama UniversityJapan",256,7.6,12.8,
259,"POWER CHALLENGEarray,                 HPE                INRIA - Sophia AntipolisFrance",32,7.54,11.52,
260,"POWER CHALLENGEarray,                 HPE                NASA/ Jet Propulsion LaboratoryUnited States",32,7.54,11.52,
261,"POWER CHALLENGEarray,                 HPE                NASA/Ames Research Center/NASUnited States",32,7.54,11.52,
262,"SP2/37,                 IBM                American ExpressUnited States",37,7.49,9.84,
263,"POWER CHALLENGEarray,                 HPE                Boston UniversityUnited States",38,7.45,11.4,
264,"SPP1200/XA-64,                 HPE                NCSAUnited States",64,7.41,15.36,
265,"S-3800/180,                 Hitachi                Meteorological Research Institute, Japan Meteorological AgencyJapan",1,7.4,8.0,
266,"SP2/36,                 IBM                Rensselaer Polytechnic InstituteUnited States",36,7.31,9.58,
267,"SP2/36,                 IBM                Telecom Denmark (Danadata)Denmark",36,7.31,9.58,
268,"SP2 77 MHz wide,                 IBM                HMCSouth Korea",32,7.3,9.86,
269,"SP2 77 MHz wide,                 IBM                Kogiin KagikenJapan",32,7.3,9.86,
270,"ORIGIN 2000,                 HPE                Baylor College of MedicineUnited States",24,7.21,9.36,
271,"SP2/35,                 IBM                MCI WorldcomUnited States",35,7.12,9.31,
272,"SP2/35,                 IBM                Philipps University of MarburgGermany",35,7.12,9.31,
273,"SP2/35,                 IBM                Shell KSEPLNetherlands",35,7.12,9.31,
274,"SP2/35,                 IBM                ShopKo StoresUnited States",35,7.12,9.31,
275,"SP2/35,                 IBM                State FarmUnited States",35,7.12,9.31,
276,"S-3800/260,                 Hitachi                Suzuki MotorJapan",2,7.1,8.0,
