Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
401,"Cluster Platform 3000 BL460c, Xeon 52xx 3 GHz, GigEthernet,                 HPE                Logistic Services (E)United States",3624,23.3,43.49,
402,"Cluster Platform 3000 BL460c G1, Xeon 5430 2.66 GHz, Infiniband,                 HPE                Institute of Engineering MechanicsChina",3072,23.27,32.69,
403,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, GigEthernet,                 HPE                IT Service Provider (B)United States",4088,23.26,43.5,
404,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet,                 IBM                TelecommunicationsItaly",4024,23.23,40.72,127
405,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet,                 IBM                TelecommunicationsItaly",4024,23.23,40.72,127
406,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband,                 HPE                TU  DortmundGermany",3072,23.22,36.86,
407,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband,                 HPE                IT Service ProviderSpain",2432,23.19,29.18,
408,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, GigEthernet,                 IBM                Information ServicesUnited States",8152,23.19,81.52,315
409,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, GigEthernet,                 IBM                Data WarehouseUnited States",6360,23.19,63.6,245
410,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, GigEthernet,                 IBM                Data WarehouseUnited States",6360,23.19,63.6,245
411,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, GigEthernet,                 IBM                ClassifiedUnited States",5824,23.19,58.24,225
412,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
413,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
414,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
415,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
416,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
417,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
418,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
419,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
420,"iDataPlex, Xeon QC 2.5 GHz, GigEthernet,                 IBM                Financial Services (H)United States",5376,23.19,53.76,173
421,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet,                 HPE                Food IndustryUnited Kingdom",3600,23.15,43.2,
422,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet,                 HPE                IT Services Provider (B)Canada",3600,23.15,43.2,
423,"xSeries x3450 Cluster Xeon quad core, 3.0 GHz, GigEthernet,                 IBM                Semiconductor Company (C)United States",4720,23.1,56.64,265
424,"xSeries x3450 Cluster Xeon quad core, 3.0 GHz, GigEthernet,                 IBM                Semiconductor Company (C)United States",4720,23.1,56.64,265
425,"xSeries x3450 Cluster Xeon quad core, 3.0 GHz, GigEthernet,                 IBM                Semiconductor Company (C)United States",4720,23.1,56.64,265
426,"xSeries x3450 Cluster Xeon quad core, 3.0 GHz, GigEthernet,                 IBM                Semiconductor Company (C)United States",4720,23.1,56.64,265
427,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet,                 HPE                Semiconductor Company (O)United Kingdom",3592,23.1,43.1,
428,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, GigE,                 HPE                Columbia UniversityUnited States",3584,23.05,43.01,
429,"Cluster Platform 3000 BL460c G1, Xeon 5430 2.66 GHz, GigE,                 HPE                gkv InformatikGermany",4048,23.04,43.07,
430,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet,                 HPE                IT Service Provider (C)United States",3576,22.99,42.91,
431,"Cray XT4 QuadCore 2.2 GHz,                 Cray/HPE                National Astronomical Observatory of JapanJapan",3248,22.93,28.58,160
432,"Cluster Platform 3000 BL460c, Xeon E54xx 2.33 GHz, GigEthernet,                 HPE                Hosting ServicesUnited States",4608,22.92,42.95,
433,"Cluster Platform 3000 BL460c, Xeon E54xx 2.33 GHz, GigEthernet,                 HPE                Hosting ServicesUnited States",4608,22.92,42.95,
434,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband,                 HPE                Merlion Trade GmbHAustria",2400,22.89,28.8,
