Rank,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
101,"Avoca - BlueGene/Q, Power BQC 16C 1.60GHz, Custom,                 IBM                Victorian Life Sciences Computation InitiativeAustralia",65536,715.55,838.86,329
102,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband, NVIDIA K20x,                 Lenovo/IBM                Max-Planck-Gesellschaft MPI/IPPGermany",15840,709.7,1013.1,270
103,"Tide - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR,                 IBM                National Centers for Environment PredictionUnited States",37312,705.9,776.09,775
104,"Gyre - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR,                 IBM                National Centers for Environment PredictionUnited States",37312,705.9,776.09,775
105,"GALILEO - IBM NeXtScale nx360M4, Xeon E5-2630v3 8C 2.4GHz, Infiniband QDR, Intel Xeon Phi 7120P,                 IBM/Lenovo                CINECAItaly",50232,684.25,1103.07,2826
106,"HECToR - Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect,                 Cray/HPE                University of EdinburghUnited Kingdom",90112,660.24,829.03,
107,"Polytechnic RSC Tornado - RSC Tornado, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR,                 RSC Group                St. Petersburg Polytechnic UniversityRussia",19936,658.11,829.34,320
108,"Palmetto2 - Cluster Platform SL250s Gen8/Lenovo NX360M5, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m/K40/K20,                 HPE                Clemson UniversityUnited States",14980,630.1,880.03,
109,"Cluster Platform DL380p Gen8 , Intel Xeon E5-2650v2  8C 2.6GHz, 10G Ethernet,                 HPE                Hosting ServicesUnited States",51200,624.99,1064.96,3840
110,"Big Red II - Cray XK7 , Opteron 6276 16C 2.300GHz, Cray Gemini interconnect, NVIDIA K20,                 Cray/HPE                Indiana UniversityUnited States",31288,597.4,1000.62,458
111,"VSC-3 - Oil blade server, Intel Xeon E5-2650v2  8C 2.6GHz, Intel TrueScale Infiniband,                 ClusterVision                Vienna Scientific ClusterAustria",32768,596.01,681.57,450
112,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR,                 HPE                Central Research Institute of Electric Power Industry/CRIEPIJapan",32256,582.1,670.92,720
113,"Gaea C2 - Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect,                 Cray/HPE                NOAA/Oak Ridge National LaboratoryUnited States",77824,565.7,715.98,972
114,"TIFR - Cray XC30, Intel Xeon E5-2680v2  10C 2.8GHz, Aries interconnect , NVIDIA K20x,                 Cray/HPE                Indian Lattice Gauge Theory Initiative (ILGTI), Tata Institute of Fundamental Research (TIFR)India",11424,558.8,730.66,320
115,"Huawei  Cluster RH2288H V2, Intel Xeon E5-2650v2  8C 2.6GHz, Gigabit Ethernet,                 Huawei Technologies Co., Ltd.                Internet Company AChina",49440,557.34,1028.35,882
116,"SuperMIC - Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 7120P,                 DELL EMC                Louisiana State UniversityUnited States",45866,557.03,925.07,370
117,"Discover SCU11 - Rackable Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR,                 HPE                NASA/Goddard Space Flight CenterUnited States",17136,548.67,712.86,1224
118,"Discover SCU12 - Rackable Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR,                 HPE                NASA/Goddard Space Flight CenterUnited States",17136,548.67,712.86,1224
119,"Cluster Platform DL380p Gen8 , Intel Xeon E5-2650v2  8C 2.6GHz, 10G Ethernet,                 HPE                Hosting ServicesUnited States",44832,547.25,932.51,3362
120,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet,                 HPE                Service ProviderUnited States",42848,545.51,891.24,2410
121,"SAKURA - BlueGene/Q, Power BQC 16C 1.60GHz, Custom,                 IBM                High Energy Accelerator Research Organization /KEKJapan",49152,536.66,629.15,247
122,"HIMAWARI - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect,                 IBM                High Energy Accelerator Research Organization /KEKJapan",49152,536.66,629.15,247
123,"Sky Bridge - Cray CS300-LC, Xeon E5-2670 8C 2.6GHz, Intel Truscale,                 Cray/HPE                Sandia National LaboratoriesUnited States",29584,532.9,615.35,675
124,"SANAM - Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000,                 Adtech                King Abdulaziz City for Science and TechnologySaudi Arabia",38400,532.6,1098.0,179
125,"HPCC - Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m,                 HPE                University of Southern CaliforniaUnited States",10920,531.6,690.35,237
126,"Tryton - HP ProLiant XL230a Gen9, Xeon E5-2670v3 12C 2.3GHz, Infiniband,                 Megatel/Action                Academic Computer Centre in GdanskPoland",17280,530.46,635.9,
127,"HPC4 - HP POD - Cluster Platform BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR,                 HPE                AirbusFrance",34560,516.9,746.5,1363
128,"Armstrong - Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect , Intel Xeon Phi 5120D,                 Cray/HPE                Navy DSRCUnited States",38608,514.9,761.05,1081
129,"Falcon - SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR,                 HPE                Idaho National LaboratoryUnited States",16416,511.24,656.64,226
130,"PORTHOS - IBM NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR,                 IBM                EDF R&DFrance",16100,506.36,669.76,374
131,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.800GHz, Gigabit Ethernet,                 HPE                Energy Company (D)United States",50400,499.23,1128.96,3780
132,"Mole-8.5 - Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050,                 IPE, Nvidia, Tyan                Institute of Process Engineering, Chinese Academy of SciencesChina",29440,496.5,1012.65,540
133,"Cluster Platform SL230s Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR,                 HPE                IT Provider (P)United States",26688,489.42,576.46,2002
134,"Amazon EC2 C3 Instance cluster - Amazon EC2 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, 10G Ethernet,                 Self-made                Amazon Web ServicesUnited States",26496,484.18,593.51,609
