Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
1,"CP-PACS/2048,                 Hitachi/Tsukuba                Center for Computational Sciences, University of TsukubaJapan",2048,368.2,614.4,
2,"Numerical Wind Tunnel,                 Fujitsu                National Aerospace Laboratory of JapanJapan",167,229.0,281.26,498
3,"SR2201/1024,                 Hitachi                University of TokyoJapan",1024,220.4,307.2,
4,"XP/S140,                 Intel                Sandia National LaboratoriesUnited States",3680,143.4,184.0,
5,"XP/S-MP 150,                 Intel                DOE/SC/Oak Ridge National LaboratoryUnited States",3072,127.1,154.0,
6,"XP/S-MP 125,                 Intel                Japan Atomic Energy Research InstituteJapan",2502,103.5,125.1,
7,"T3D MC1024-8,                 Cray/HPE                GovernmentUnited States",1024,100.5,153.6,
8,"VPP500/80,                 Fujitsu                National Lab. for High Energy PhysicsJapan",80,98.9,128.0,
9,"VPP700/56,                 Fujitsu                Kyushu UniversityJapan",56,94.3,123.2,
10,"VPP700/46,                 Fujitsu                ECMWFUnited Kingdom",46,94.3,101.2,
11,"T3E,                 Cray/HPE                ERDC DSRCUnited States",256,93.2,153.6,
12,"T3E,                 Cray/HPE                IDRISFrance",256,93.2,153.6,
13,"T3E,                 Cray/HPE                Pittsburgh Supercomputing CenterUnited States",256,93.2,153.6,
14,"SP2/512,                 IBM                Cornell Theory CenterUnited States",512,88.4,136.19,
15,"SP2/512,                 IBM                IBMUnited States",512,88.4,136.19,
16,"SP2/384,                 IBM                Maui High-Performance Computing Center (MHPCC)United States",384,66.3,102.14,
17,"SX-4/32,                 NEC                HWW/Universitaet StuttgartGermany",32,60.6,64.0,
18,"SX-4/32,                 NEC                NEC Fuchu PlantJapan",32,60.6,64.0,
19,"SX-4/32,                 NEC                Osaka UniversityJapan",32,60.6,64.0,
20,"SX-4/32,                 NEC                Osaka UniversityJapan",32,60.6,64.0,
21,"CM-5/1056,                 Thinking Machines Corporation                Los Alamos National LaboratoryUnited States",1056,59.7,135.17,
22,"VPP500/42,                 Fujitsu                Japan Atomic Energy Research InstituteJapan",42,54.5,67.2,
23,"VPP500/42,                 Fujitsu                Nagoya UniversityJapan",42,54.5,67.2,
24,"T3E,                 Cray/HPE                Forschungszentrum Juelich (FZJ)Germany",136,53.1,81.6,
25,"CM-5/896,                 Thinking Machines Corporation                Minnesota Supercomputer CenterUnited States",896,52.3,114.7,
26,"VPP500/40,                 Fujitsu                National Institute of GeneticsJapan",40,52.0,64.0,
27,"VPP500/40,                 Fujitsu                University of Tokyo/Institute for Solid State PhysicsJapan",40,52.0,64.0,
28,"T3D MC512-8,                 Cray/HPE                Los Alamos National LaboratoryUnited States",512,50.8,76.8,
29,"T3D MC512-8,                 Cray/HPE                NASA/Goddard Space Flight CenterUnited States",512,50.8,76.8,
30,"T3D MC512-8,                 Cray/HPE                Network Computing Services, Inc.United States",512,50.8,76.8,
31,"T3D MC512-8,                 Cray/HPE                Pittsburgh Supercomputing CenterUnited States",512,50.8,76.8,
32,"T3D MC512-8,                 Cray/HPE                University of EdinburghUnited Kingdom",512,50.8,76.8,
33,"T3E,                 Cray/HPE                DOE/SC/LBNL/NERSCUnited States",128,50.4,76.8,
34,"T3E,                 Cray/HPE                Max-Planck-Gesellschaft MPI/IPPGermany",128,50.4,76.8,
35,"T3E,                 Cray/HPE                United Kingdom Meteorological OfficeUnited Kingdom",128,50.4,76.8,
36,"T3E,                 Cray/HPE                Universitaet StuttgartGermany",128,50.4,76.8,
37,"SP2/256,                 IBM                Lawrence Livermore National LaboratoryUnited States",256,44.2,68.09,
38,"SP2/256,                 IBM                Lawrence Livermore National LaboratoryUnited States",256,44.2,68.09,
39,"VPP500/32,                 Fujitsu                The Angstrom Technology PartnershipJapan",32,42.4,51.2,
40,"VPP500/30,                 Fujitsu                University of TsukubaJapan",30,39.8,48.0,
41,"SX-4/20,                 NEC                Japan Marine Science and TechnologyJapan",20,38.2,40.0,
42,"SX-4/20,                 NEC                National Research Institute for MetalsJapan",20,38.2,40.0,
43,"SX-4/20,                 NEC                Toyota Central Research & DevelopmentJapan",20,38.2,40.0,
44,"VPP500/28,                 Fujitsu                Institute of Physical and Chemical Research (RIKEN)Japan",28,37.2,44.8,
45,"SP2/208,                 IBM                DOE/SC/Pacific Northwest National LaboratoryUnited States",208,36.45,55.32,
46,"VPP300/16,                 Fujitsu                Japan Atomic Energy Research InstituteJapan",16,34.1,35.2,
47,"XP/S-MP 41,                 Intel                Air Force Research LaboratoryUnited States",816,33.7,40.8,
48,"SX-4/16,                 NEC                Atmospheric Environment Service (AES)Canada",16,30.71,32.0,
49,"SX-4/16,                 NEC                National Aerospace Laboratory (NLR)Netherlands",16,30.71,32.0,
50,"SX-4/16,                 NEC                National Cardiovascular CenterJapan",16,30.71,32.0,
51,"SX-4/16,                 NEC                Swiss Scientific Computing Center (CSCS)Switzerland",16,30.71,32.0,
52,"CM-5/512,                 Thinking Machines Corporation                NCSAUnited States",512,30.4,65.54,
53,"CM-5/512,                 Thinking Machines Corporation                National Security AgencyUnited States",512,30.4,65.54,
54,"T932/321024,                 Cray/HPE                Nippon Telegraph and Telephone (NTT)Japan",32,29.36,57.6,
55,"SP2/160,                 IBM                NASA/Ames Research Center/NASUnited States",160,28.7,42.56,
56,"S-3800/480,                 Hitachi                Hitachi Ltd. Enterprise Server DivisionJapan",4,28.4,32.0,
57,"S-3800/480,                 Hitachi                Japan Meteorological AgencyJapan",4,28.4,32.0,
58,"S-3800/480,                 Hitachi                University of TokyoJapan",4,28.4,32.0,
59,"VPP300/13,                 Fujitsu                Australian National UniversityAustralia",13,27.7,28.6,
60,"T3D MC256-8/464,                 Cray/HPE                Bear StearnsUnited States",256,25.3,38.4,
61,"T3D SC256-8/264,                 Cray/HPE                Caltech/JPLUnited States",256,25.3,38.4,
62,"T3D MC256-8,                 Cray/HPE                Defense Research Agency (DRA)United Kingdom",256,25.3,38.4,
63,"T3D MC256-8,                 Cray/HPE                Ecole Polytechnique Federale de LausanneSwitzerland",256,25.3,38.4,
64,"T3D SC256-8/464,                 Cray/HPE                Los Alamos National LaboratoryUnited States",256,25.3,38.4,
65,"T3D SC256-8/364,                 Cray/HPE                NERSC/LLNLUnited States",256,25.3,38.4,
66,"T3D MC256-8,                 Cray/HPE                Petroleum Company (A)United States",256,25.3,38.4,
67,"T3D SC256-8/464,                 Cray/HPE                ZIB/Konrad Zuse-Zentrum fuer InformationstechnikGermany",256,25.3,38.4,
68,"T3E,                 Cray/HPE                CSC (Center for Scientific Computing)Finland",64,25.1,38.4,
69,"T3E,                 Cray/HPE                Cray ResearchUnited States",64,25.1,38.4,
70,"T3E,                 Cray/HPE                Manufacturer (G)United States",64,25.1,38.4,
71,"T3E,                 Cray/HPE                Norwegian University of Science and TechnologyNorway",64,25.1,38.4,
72,"T3E,                 Cray/HPE                Technical University Delft (TUD)Netherlands",64,25.1,38.4,
73,"SX-3/44R,                 NEC                Atmospheric Environment Service (AES)Canada",4,23.2,25.6,
74,"SX-3/44R,                 NEC                Tohoku UniversityJapan",4,23.2,25.6,
75,"T932/20512,                 Cray/HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",20,23.07,36.0,
76,"VPP500/16,                 Fujitsu                Reactor & Nuclear Fuel DevelopmentJapan",16,21.7,25.6,
77,"S-3800/380,                 Hitachi                Hokkaido UniversityJapan",3,21.6,24.0,
78,"S-3800/380,                 Hitachi                Institute for Materials Research, Tohoku University (IMR)Japan",3,21.6,24.0,
79,"VPP300/10,                 Fujitsu/SNI                Scientific Supercomputing Center KarlsruheGermany",10,21.35,22.0,
80,"SP2/110,                 IBM                KTH - Royal Institute of TechnologySweden",110,20.37,29.21,
81,"VPP500/15,                 Fujitsu                Kyoto UniversityJapan",15,20.3,24.0,
82,"SX-3/44,                 NEC                Atmospheric Environment Service (AES)Canada",4,20.0,22.0,
83,"SP2/104,                 IBM                MCI WorldcomUnited States",104,19.34,27.62,
84,"XP/S-MP 22,                 Intel                ETH ZuerichSwitzerland",450,18.7,22.5,
85,"POWER CHALLENGEarray,                 HPE                US Army Research Laboratory (ARL)United States",96,18.45,28.8,
86,"SP2/98,                 IBM                CiticorpUnited States",98,18.31,26.07,
87,"SP2 77 MHz wide,                 IBM                Scientific Supercomputing Center KarlsruheGermany",84,17.92,25.87,
88,"SX-3/34R,                 NEC                Institute for Molecular ScienceJapan",3,17.4,19.2,
89,"SX-3/34R,                 NEC                VW (Volkswagen AG)Germany",3,17.4,19.2,
90,"SP2 77 MHz wide,                 IBM                Air Force Research LaboratoryUnited States",80,17.23,24.63,
91,"VPP300/8,                 Fujitsu                Nippon UniversityJapan",8,17.1,17.6,
92,"VPP300/8,                 Fujitsu/SNI                Universitaet Aachen/RWTHGermany",8,17.1,17.6,
93,"SP2/85,                 IBM                NIH (National Institutes of Health)United States",85,16.09,22.61,
94,"T3E,                 Cray/HPE                University of TexasUnited States",40,15.6,24.0,
95,"POWER CHALLENGEarray,                 HPE                NCSAUnited States",64,15.6,23.04,
96,"POWER CHALLENGEarray,                 HPE                Silicon GraphicsSwitzerland",64,15.6,23.04,
97,"T916/12512,                 Cray/HPE                Forschungszentrum Juelich (FZJ)Germany",12,15.43,21.6,
98,"SX-4/8,                 NEC                ATR Optical Communication LabJapan",8,15.35,16.0,
99,"SX-4/8,                 NEC                Danish Meteorological InstituteDenmark",8,15.35,16.0,
100,"SX-4/8,                 NEC                German Aerospace Laboratory (DLR)Germany",8,15.35,16.0,
